,Authors,Date,Link,Tickers,Title,Strategy
68, Arie Goren,2016-04-01 15:21:00,/article/3962606-best-large-cap-stocks-portfolio-consider-broadcom,AVGO,My Best Large Cap Stocks Portfolio: Consider Broadcom,Long
69, Cory Cramer,2016-04-01 14:49:00,/article/3962592-cyclical-strategy-says-buy-fmc,FMC,Cyclical Strategy Says Buy FMC,Long
70, Andre Jenanji,2016-04-01 14:34:00,/article/3962597-senvest-capital-time-buy-now,SVCTF,Senvest Capital - The Time To Buy Is Now,Long
72, Erik Bergseng,2016-04-01 14:10:00,/article/3962584-apple-grossly-mispriced,AAPL,Apple Is Grossly Mispriced,Long
73, Valuentum,2016-04-01 13:34:00,/article/3962583-fedex-well-positioned-capture-demand,FDX,FedEx Well-Positioned To Capture Demand,Long
74, Northern Capital,2016-04-01 13:30:00,/article/3962571-put-knight-therapeutics-watchlist,KHTRF,Put Knight Therapeutics On Your Watchlist,Long
75, Reuben Gregg Brewer,2016-04-01 13:23:00,/article/3962568-ibm-shows-watson-can,IBM,IBM Shows Me What Watson Can Do,Long
76, Long Term Growth Investor,2016-04-01 13:10:00,/article/3962561-amazon-com-third-party-sellers-drive-profitability,AMZN,Amazon.com: Third-Party Sellers Drive Profitability,Long
77, Adelphi Venture Capital,2016-04-01 12:19:00,/article/3962556-expedia-great-buy-hold-investment-growing-industry,EXPE,Expedia Is A Great Buy-And-Hold Investment In A Growing Industry,Long
78, Dana Blankenhorn,2016-04-01 11:19:00,/article/3962541-fitbits-rise-stirs-takeout-speculation,FIT,Fitbit's Rise Stirs Takeout Speculation,Long
79, Christian Lamarco,2016-04-01 10:54:00,/article/3962283-tempur-sealy-high-quality-business-understated-fcf-generation-ability-attractive-risk-reward,TPX,"Tempur Sealy: High Quality Business, Understated FCF Generation Ability; Attractive Risk-Reward",Long
81, Richard Gordon,2016-04-01 10:28:00,/article/3962526-tesla-model-3-reveal-results,TSLA,Tesla Model 3 Reveal: The Results,Long
82, The Value Investor,2016-04-01 10:24:00,/article/3962525-h-and-r-blocks-focused-business-warrants-higher-valuation,HRB,H&R Block's Focused Business Warrants Higher Valuation,Long
83, IP Banking Research,2016-04-01 10:09:00,/article/3962520-impact-fx-movements-citigroup,C,The Impact Of FX Movements On Citigroup,Long
84, Canadian Dividend Growth Investor,2016-04-01 10:09:00,/article/3962519-canadian-national-railway-play,CNI,Canadian National Railway Play,Long
85, Darspal S Mann,2016-04-01 09:55:00,/article/3962265-sapiens-forgotten-beneficiary-increased-tech-spending-insurance-companies,SPNS,Sapiens: Forgotten Beneficiary Of Increased Tech Spending By Insurance Companies,Long
86, Caiman Valores,2016-04-01 09:16:00,/article/3962503-let-fear-deter-buying-westpac-banking-corporation-6-percent-yield,WBK,Don't Let Fear Deter You From Buying Westpac Banking Corporation And Its 6% Yield,Long
87, Albert Zeng,2016-04-01 09:11:00,/article/3962500-go-long-express-scripts,ESRX,Go Long On Express Scripts,Long
88, Bear Necessities,2016-04-01 09:07:00,/article/3962510-amaya-trading-less-half-real-value,TSG,Amaya Is Trading At Less Than Half Its Real Value,Long
89, Vince Martin,2016-04-01 08:58:00,/article/3962250-vince-holding-turnaround-just-begun,VNCE,Vince Holding: The Turnaround Has Just Begun,Long
90, Investor Initiatives,2016-04-01 08:43:00,/article/3962493-inovio-pharmaceuticals-will-next-great-biotech-generation-will-tell,INO,"Inovio Pharmaceuticals Will Be The Next Great Biotech Of Our Generation, And I Will Tell You Why",Long
91, PLM Investments,2016-04-01 08:25:00,/article/3962490-emispheres-first-big-payday-may-come-soon,EMIS,Emisphere's First Big Payday May Come Soon,Long
92, Mark Biwojno,2016-04-01 07:50:00,/article/3962488-lipocine-first-market-oral-testosterone-pill,LPCN,Lipocine: The First To Market Oral Testosterone Pill?,Long
93, Long Player,2016-04-01 05:33:00,/article/3962470-laboratory-corporation-america-easy-earnings-comparisons-ahead,LH,Laboratory Corporation Of America Has Easy Earnings Comparisons Ahead,Long
94, Pierre Gouesclou,2016-04-01 04:44:00,/article/3962466-expected-growth-luminex,LMNX,The Expected Growth Of Luminex,Long
96, Cabot,2016-04-01 01:53:00,/article/3962454-opportunities-steel-stocks-steel-dynamics,STLD,Opportunities In Steel Stocks? Steel Dynamics,Long
97, Dividend Drive,2016-04-01 00:00:00,/article/3962443-pz-cussons-nigerian-opportunity-part-1-nigeria-important-understanding-small-consumer-goods,PZCUY,PZ Cussons And The Nigerian Opportunity (Part 1): Why Nigeria Is Important In Understanding This Small Consumer Goods Play,Long
98, Action Investor,2016-03-31 23:42:00,/article/3962433-sound-long-investment-plantronics,PLT,A Sound Long Investment - Plantronics,Long
99, Tradevestor,2016-03-31 22:37:00,/article/3962429-microsoft-waxing-cloud,MSFT,Microsoft: Waxing Cloud,Long
101, Christopher Fisher,2016-03-31 19:20:00,/article/3962414-bankers-petroleum-acquired-less-risk-priced,BNKJF,Bankers Petroleum Being Acquired - Less Risk Than Priced In,Long
102, Will Nussman,2016-03-31 17:40:00,/article/3962402-nvidia-fundamental-dcf-analysis,NVDA,Nvidia: Fundamental And DCF Analysis,Long
103, Alpha Investor,2016-03-31 16:49:00,/article/3962398-bp-set-upside,BP,Is BP Set For More Upside?,Long
104, Martin Keck,2016-03-31 16:28:00,/article/3962381-nano-cap-bremen-bancorp-acquired-undisclosed-sum-cash-trades-reasonable-take-price,BBIM,Nano-Cap Bremen Bancorp To Be Acquired For Undisclosed Sum In Cash Trades Below Reasonable Take-Over Price,Long
105, Eric Schwer,2016-03-31 16:23:00,/article/3962378-consider-amerigas-compelling-holding-propane-industry,APU,"Consider AmeriGas, A Compelling Holding In The Propane Industry",Long
106, Stone Fox Capital,2016-03-31 16:15:00,/article/3962392-twitter-time-watched-metric-surges,TWTR,Twitter: 'Time Watched' Metric Surges,Long
107, Entertainment Insight,2016-03-31 15:49:00,/article/3962360-toyota-cradle-innovation-automotive-industry,TM,Toyota: The Cradle Of Innovation In The Automotive Industry,Long
108, Kevin Fulmer,2016-03-31 15:38:00,/article/3962373-nike-just-getting-started-china,NKE,Nike Is Just Getting Started In China,Long
109, Valuentum,2016-03-31 15:38:00,/article/3962372-deere-plows-ahead-weak-ag-market,DE,Deere Plows Ahead In Weak Ag Market,Long
110, Early Retiree,2016-03-31 15:33:00,/article/3962079-keryx-underestimate-ida-potential,KERX,Keryx: Don't Underestimate The IDA Potential,Long
111, Nick Cox,2016-03-31 15:29:00,/article/3962357-virtual-reality-give-boost-sony-2016minus-17,SNE,Virtual Reality To Give Further Boost To Sony In 2016-17,Long
112, The Small-Cap Authority,2016-03-31 15:29:00,/article/3962365-hutchinson-technology-clearing-misunderstanding-industry-competitors,HTCH,Hutchinson Technology: Clearing Up A Misunderstanding On Industry Competitors,Long
113, Quad 7 Capital,2016-03-31 15:24:00,/article/3962355-plug-power-overdue,PLUG,Plug Power: It Was Overdue,Long
115, Marel.,2016-03-31 14:38:00,/article/3962340-tsakos-energy-navigation-double-value,TNP,Tsakos Energy Navigation Could Double In Value,Long
116, Quad 7 Capital,2016-03-31 14:24:00,/article/3962335-silver-wheaton-weird,WPM,Silver Wheaton: That's Weird,Long
117, Shudeep Chandrasekhar,2016-03-31 14:23:00,/article/3962344-shorting-facebook-now-right-strategy,FB,Why Shorting Facebook Now Is Not The Right Strategy,Long
118, Lipper Alpha Insight,2016-03-31 14:15:00,/article/3962341-lululemon-athletica-strong-mission-can-overcome-adversity,LULU,Lululemon Athletica: A Strong Mission Can Overcome Adversity,Long
120, Alpha Max,2016-03-31 13:58:00,/article/3962336-revisiting-qualcomms-datacenter-initiative,QCOM,Revisiting Qualcomm's Datacenter Initiative,Long
122, Peter Arendas,2016-03-31 13:19:00,/article/3962310-pretium-resources-will-catch-miners,PVG,Pretium Resources Will Catch Up To Other Miners,Long
123, Do Diligence,2016-03-31 13:16:00,/article/3962308-cellceutix-still-flying-radar-innovative-biotech-tremendous-upside-potential,IPIX,Cellceutix: Still Flying Under The Radar--An Innovative Biotech With Tremendous Upside Potential,Long
124, Mark Hibben,2016-03-31 12:57:00,/article/3962312-apple-help-foxconn-buy-sharp,AAPL,Did Apple Help Foxconn Buy Sharp?,Long
126, Dana Blankenhorn,2016-03-31 11:27:00,/article/3962284-microsoft-going-voice,MSFT,Microsoft: Going All-In With Voice,Long
127, Quad 7 Capital,2016-03-31 11:20:00,/article/3962282-sandstorm-2016-new-dawn,SAND,Sandstorm: 2016 A New Dawn,Long
128, Josh Arnold,2016-03-31 11:08:00,/article/3962277-restoration-hardwares-story-still-intact-despite-near-term-headwinds,RH,Restoration Hardware's Story Is Still Intact Despite Near-Term Headwinds,Long
129, The Entertainment Oracle,2016-03-31 11:02:00,/article/3962276-amazons-recent-advantage-netflix,AMZN,Amazon's Recent Advantage Over Netflix,Long
131, Caitlin Rieger,2016-03-31 10:43:00,/article/3962279-oracle-corporation-better-days-ahead,ORCL,Oracle Corporation: Better Days Ahead,Long
132, Out of Ignorance,2016-03-31 10:36:00,/article/3962271-disneys-character-driven-ecosystem-will-reverse-recent-lull-start-disney-moving-back-new,DIS,Disney's Character-Driven Ecosystem Will Reverse Its Recent Lull And Start Disney Moving Back To New Highs,Long
133, David Trainer,2016-03-31 10:26:00,/article/3962274-boost-american-express-value-50-billion,AXP,How To Boost American Express Value By $50 Billion,Long
134, Andrew Gracey,2016-03-31 09:52:00,/article/3962263-progress-software-lowers-guidance,PRGS,Progress Software Lowers Guidance,Long
135, Samreen Agha,2016-03-31 09:40:00,/article/3962253-organovo-slow-steady-wins-race,ONVO,Organovo: Slow And Steady Wins The Race,Long
136, Adelphi Venture Capital,2016-03-31 08:51:00,/article/3962248-carnival-corporation-can-profit-growth-chinese-tourism,CCL,Carnival Corporation Can Profit From The Growth Of Chinese Tourism,Long
137, Dana Blankenhorn,2016-03-31 08:46:00,/article/3962234-shedding-light-sunedison-crash,SUNEQ,Shedding Some Light On The SunEdison Crash,Long
138, Adelphi Venture Capital,2016-03-31 08:43:00,/article/3962245-lululemon-can-keep-soaring-year,LULU,Lululemon Can Keep On Soaring This Year,Long
139, Collective Investment Co.,2016-03-31 08:41:00,/article/3962244-wrong-buy-tiffany-and-co,TIF,We Were Wrong Not To Buy Tiffany & Co.,Long
