,Authors,Date,Link,Tickers,Title,Strategy
3227, Maudes Capital,2016-01-19 16:17:00,/article/3819476-16-percent-absolute-return-marriotts-acquisition-starwood,MAR,16% Absolute Return From Marriott's Acquisition Of Starwood,Long
3228, Daniel Sermersheim,2016-01-19 16:00:00,/article/3819446-cash-king-case-upside-electro-sensors,ELSE,Cash Is King: The Case For Upside In Electro Sensors,Long
3229, Quad 7 Capital,2016-01-19 15:51:00,/article/3819406-pan-american-silver-now-time-buy,PAAS,Pan American Silver: Is Now The Time To Buy?,Long
3230, Discount Fountain,2016-01-19 15:23:00,/article/3819246-starbucks-bullish-cautious-patient,SBUX,Starbucks: Bullish But Cautious...And Patient,Long
3231, The Investment Doctor,2016-01-19 15:20:00,/article/3819236-metro-inc-one-companies-positive-ytd-performance,MTRAF,Metro Inc.: One Of The Few Companies With A Positive YTD Performance,Long
3234, Tim Travis,2016-01-19 14:25:00,/article/3819156-jpmorgan-chase-take-advantage-short-term-fears,JPM,JPMorgan Chase: Take Advantage Of Short-Term Fears,Long
3235, Alpha Investor,2016-01-19 14:22:00,/article/3819146-will-noble-corp-overcome-weakness-oil,NE,Will Noble Corp. Overcome The Weakness In Oil?,Long
3236, Willow Street Investments,2016-01-19 14:17:00,/article/3819036-mondelez-stable-dividend-growth-food-stock,MDLZ,Mondelez: A Stable Dividend Growth Food Stock,Long
3237, Alpha Max,2016-01-19 13:39:00,/article/3818856-qualcomm-fit-intels-nvidias-self-driving-car-equation,QCOM,Where Does Qualcomm Fit Into Intel's And Nvidia's Self-Driving Car Equation?,Long
3238, Eugene Lee,2016-01-19 13:25:00,/article/3818946-facebooks-vr-platform-may-growth-catalyst-processor-manufacturers,NVDA,Facebook's VR Platform May Be A Growth Catalyst For Processor Manufacturers,Long
3239, Collective Investment Co.,2016-01-19 13:23:00,/article/3818936-growth-story-whitewave-foods-still-written,WWAV,The Growth Story Of WhiteWave Foods Is Still Being Written,Long
3240, Mark Hibben,2016-01-19 13:19:00,/article/3818916-apple-ios-ad-free,AAPL,Apple: Should iOS Be Ad Free?,Long
3241, West Coast Growth Picks,2016-01-19 13:18:00,/article/3818906-delta-hints-cseries-order,BDRBF,Delta Hints At CSeries Order,Long
3242, Achilles Research,2016-01-19 12:58:00,/article/3818706-citigroup-selling-61-cents-dollar-buy,C,"Citigroup Is Selling For 61 Cents On The Dollar, Should You Buy?",Long
3243, Rohit Chhatwal,2016-01-19 12:40:00,/article/3818666-can-hilton-break-free-fall-hotel-stocks-next-earnings-result,HLT,Can Hilton Break The Free Fall In Hotel Stocks With Its Next Earnings Result?,Long
3244, George Kesarios,2016-01-19 12:38:00,/article/3818656-amd-earnings-bullish-long-term,AMD,"AMD: With Earnings Up, I'm Bullish Long Term",Long
3245, Justin Hess,2016-01-19 12:32:00,/article/3818606-comscore-update-top-pick-december,SCOR,ComScore: Update From Top Pick In December,Long
3246, BumbleBayGoombeeFluor,2016-01-19 12:16:00,/article/3818496-jnj-company-valuable-split,JNJ,JNJ: Is The Company More Valuable Split Up?,Long
3247, Activist Stocks,2016-01-19 12:13:00,/article/3818476-forget-angies-list-buyout-now,ANGI,Forget The Angie's List Buyout For Now,Long
3248, Gustavo Gonzalez,2016-01-19 12:05:00,/article/3818426-fundamental-look-gilead-sciences,GILD,A Fundamental Look At Gilead Sciences,Long
3249, Collective Investment Co.,2016-01-19 11:57:00,/article/3818576-tax-season-bought-h-and-r-block-shares,HRB,Tax Season Is Here And We've Bought H&R Block Shares,Long
3251, Bernardo Teixeira,2016-01-19 11:51:00,/article/3818326-closer-look-americas-undervalued-retirement-financial-services-firm,VOYA,A Closer Look Into Of America's Most Undervalued Retirement Financial Services Firm,Long
3252, Atta Khan,2016-01-19 11:36:00,/article/3818286-pay-attention-csxs-falling-stock-price,CSX,Don't Pay Attention To CSX's Falling Stock Price,Long
3253, Smart Value Investor,2016-01-19 11:33:00,/article/3818396-qihoo-360-technology-almost-riskless-20-percent-annualized-merger-arbitrage,QIHU,Qihoo 360 Technology: Almost Riskless 20% Annualized Merger Arbitrage,Long
3254, Quad 7 Capital,2016-01-19 11:10:00,/article/3818206-thing-bank-america,BAC,Here's The Thing About Bank Of America,Long
3256, Bill Maurer,2016-01-19 10:12:00,/article/3818036-intel-management-changed-tune,INTC,Has Intel Management Changed Its Tune?,Long
3257, The Investment Doctor,2016-01-19 08:56:00,/article/3817926-b2gold-facing-400m-capex-exploration-bill-2016,BTG,B2Gold Is Facing A $400M Capex And Exploration Bill In 2016,Long
3258, The Value Investor,2016-01-19 08:42:00,/article/3817876-ralph-lauren-consider-allocation-quality-name-trades-discount,RL,Ralph Lauren- Consider An Allocation For This Quality Name Which Trades At A Discount,Long
3259, The Investment Doctor,2016-01-19 08:36:00,/article/3817786-alamos-gold-young-davidson-set-shine-2016,AGI,Alamos Gold: Young-Davidson Is Set To Shine In 2016!,Long
3260, Sven Carlin,2016-01-19 08:31:00,/article/3817856-looking-investment-opportunity-beaten-brazil-utilities-area,CIG,Looking For An Investment Opportunity In The Beaten Down Brazil Utilities Area,Long
3261, Enceladus Research,2016-01-19 08:11:00,/article/3817816-china-distance-education-resilient-education-business-goes-sale,DL,China Distance Education: Resilient Education Business Goes On Sale,Long
3262, Alpha Investor,2016-01-19 07:39:00,/article/3817626-yamana-gold-52-week-low-opportunity,AUY,Yamana Gold: Is The 52-Week-Low An Opportunity?,Long
3264, Chris O'Donnell,2016-01-19 07:30:00,/article/3817116-suntrust-shopping-list,STI,SunTrust Is On My Shopping List - Is It On Yours?,Long
3266, West Coast Growth Picks,2016-01-19 06:50:00,/article/3817446-one-biggest-opportunities-ge-25-years-arrives,GE,One Of The Biggest Opportunities For GE In 25 Years Arrives,Long
3267, Sven Carlin,2016-01-19 06:45:00,/article/3816076-outlook-amira-beyond-short-seller-attack-potential-short-squeeze,ANFI,An Outlook On Amira Beyond The Short Seller Attack And Potential Short Squeeze,Long
3268, Josh Arnold,2016-01-19 06:28:00,/article/3817466-rare-buying-opportunity-wells-fargo,WFC,Rare Buying Opportunity In Wells Fargo,Long
3269, Josh Arnold,2016-01-19 06:14:00,/article/3817426-citigroup-now-30-percent-lower-tangible-book-value-will-madness-end,C,Citigroup Now 30% Lower Than Tangible Book Value; When Will The Madness End?,Long
3270, The Investment Doctor,2016-01-19 05:09:00,/article/3817386-suedzuckers-turnaround-plan-starting-gain-momentum,SUEZF,Suedzucker's Turnaround Plan Is Starting To Gain Momentum,Long
3271, WG Investment Research,2016-01-19 03:12:00,/article/3817296-general-electric-q4-15-revenue-earnings-will-decline-investors-concerned,GE,"General Electric: Q4 '15 Revenue And Earnings Will Decline, But Investors Should Not Be Concerned",Long
3272, Crunching Numbers,2016-01-19 03:01:00,/article/3817246-sirius-xm-holdings-ceo-meyer-promises-delivers,SIRI,Sirius XM Holdings CEO Meyer Over-Promises And Under-Delivers,Long
3273, Josh Arnold,2016-01-19 01:51:00,/article/3817176-regions-financials-trough-valuation-offers-big-upside-potential-2016,RF,Regions Financial's Trough Valuation Offers Big Upside Potential In 2016,Long
3274, Somint Research,2016-01-19 01:29:00,/article/3817156-3-must-knows-buying-selling-chipotle,CMG,3 Must-Knows Before Buying Or Selling Chipotle,Long
3275, Josh Arnold,2016-01-18 21:06:00,/article/3816956-best-breed-regional-financial-u-s-bancorp-finally-buy,USB,Best Of Breed Regional Financial U.S. Bancorp Is Finally A Buy,Long
3276, Roadmap2Retire,2016-01-18 19:06:00,/article/3816856-cummins-inc-now-approaching-deep-value-territory,CMI,Cummins Inc: Now Approaching Deep Value Territory,Long
3277, West Coast Growth Picks,2016-01-18 19:05:00,/article/3816846-one-biggest-opportunities-boeing-25-years-arrives,BA,One Of The Biggest Opportunities For Boeing In 25 Years Arrives,Long
3278, Stone Fox Capital,2016-01-18 18:57:00,/article/3816836-lendingclub-can-get-worse,LC,LendingClub: Can It Get Worse?,Long
3279, Investbuzz,2016-01-18 17:42:00,/article/3816706-nobilis-catalysts-coming-management-must-restore-confidence,HLTH,"Nobilis: Catalysts Coming, But Management Must Restore Confidence",Long
3280, William Meyers,2016-01-18 17:37:00,/article/3816696-merrimack-pharmaceuticals-drive-higher-2016-onivyde-pipeline,MACK,Merrimack Pharmaceuticals Should Drive Higher In 2016 On Onivyde And Pipeline,Long
3281, Michael Boyd,2016-01-18 17:36:00,/article/3816666-crane-selloff-likely-overdone,CR,Crane: Selloff Likely Overdone,Long
3282, Elias Simpson,2016-01-18 17:33:00,/article/3816656-medicinovas-ibudilast-phase-iib-trial-offer-steady-outlook,MNOV,MediciNova's Ibudilast And The Phase IIb Trial Offer Steady Outlook,Long
3283, Ted Fischer,2016-01-18 16:35:00,/article/3816596-case-caution-ibm,IBM,A Case And Caution For IBM,Long
3284, Entertainment Insight,2016-01-18 16:30:00,/article/3816576-himax-poised-growth,HIMX,Himax Is Poised For Growth,Long
3285, James Kirby,2016-01-18 15:27:00,/article/3816526-dennys-attractive-small-cap-play,DENN,Denny's Is Attractive Small-Cap Play,Long
3287, The Value Investor,2016-01-18 14:20:00,/article/3816446-norfolk-southern-sell-somewhat-surprising,NSC,Norfolk Southern: Sell-Off Somewhat Surprising,Long
3288, Tim Travis,2016-01-18 13:31:00,/article/3816406-sell-wells-fargo-creates-long-term-buying-opportunity,WFC,Sell-Off In Wells Fargo Creates Long-Term Buying Opportunity,Long
3289, HFIR,2016-01-18 13:26:00,/article/3816396-jd-scuttlebutt-analysis,JD,JD Scuttlebutt Analysis,Long
3291, Tim Travis,2016-01-18 10:47:00,/article/3815996-citigroup-bank-mr-markets-unfounded-paranoia,C,Citigroup: Bank On Mr. Market's Unfounded Paranoia,Long
3292, Chris Lau,2016-01-18 10:43:00,/article/3815936-gopro-may-bottomed-time,GPRO,Why GoPro May Have Bottomed This Time,Long
3293, Daniel Jones,2016-01-18 10:15:00,/article/3815916-insanity-trinity-industries-descent,TRN,The Insanity Of Trinity Industries' Descent,Long
3294, Jeremy Blum,2016-01-18 09:33:00,/article/3814246-educational-development-corporation-low-p-e-non-cyclical-stock-hyper-growth,EDUC,Educational Development Corporation: A Low P/E Non-Cyclical Stock With Hyper Growth,Long
3295, Adelphi Venture Capital,2016-01-18 09:22:00,/article/3815896-market-drop-made-home-depot-shares-buy,HD,The Market Drop Has Made Home Depot Shares A Buy,Long
3296, HFIR,2016-01-18 07:27:00,/article/3815836-axalta-premium-business-good-valuation,AXTA,Axalta: A Premium Business At A Good Valuation,Long
3298, WestEnd511,2016-01-17 18:53:00,/article/3815506-qualcomm-trip-guizhou,QCOM,Qualcomm: A Trip To Guizhou,Long
3300, Arthur Frentzel,2016-01-17 14:20:00,/article/3765426-orion-energy-systems-best-pick-2016,OESX,Orion Energy Systems: My Best Pick For 2016,Long
3301, Yicheng Lin,2016-01-17 12:58:00,/article/3815346-next-gogo-world-market,GOGO,What's Next For Gogo In The World Market?,Long
3302, Nikhil Gupta,2016-01-17 12:52:00,/article/3815386-qualcomm-strong-buy-2016,QCOM,Qualcomm: A Strong Buy For 2016,Long
3303, Robinson Roacho,2016-01-17 12:36:00,/article/3815366-hop-calliduscloud-train-leaves-station,CALD,Hop On The CallidusCloud Train Before It Leaves The Station,Long
3305, Matt Margolis,2016-01-17 11:50:00,/article/3765066-vuzix-well-positioned-top-wearable-device-investment-2016,VUZI,Vuzix Is Well Positioned To Be The Top Wearable Device Investment In 2016,Long
3306, JSG_DRIP,2016-01-17 10:17:00,/article/3815286-can-vanguard-natural-resources-survive,VNR,Can Vanguard Natural Resources Survive?,Long
3307, HFIR,2016-01-17 09:33:00,/article/3815276-bellatrix-exploration-will-survive-downturn,BXE,Bellatrix Exploration Will Survive This Downturn,Long
3308, Heramb Vadalkar,2016-01-17 09:00:00,/article/3764686-tata-motors-strong-buy-current-valuations,TTM,Tata Motors: Strong Buy At Current Valuations,Long
3310, PLM Investments,2016-01-17 04:04:00,/article/3815006-oil-long-term-tanked-gold-tarnishing,XOM,"Oil Is Long-Term Tanked And Gold Is Tarnishing, Too",Long
3311, Pair-Wise Investments,2016-01-17 03:47:00,/article/3814956-kohls-needs-privacy,KSS,Kohl's Needs Privacy,Long
3312, WestEnd511,2016-01-17 02:39:00,/article/3814896-starbucks-global-expansion-picking,SBUX,Starbucks: Global Expansion Picking Up,Long
3313, Bret Kenwell,2016-01-17 02:28:00,/article/3814846-finally-decided-buy-chipotle-mexican-grill,CMG,Why I Finally Decided To Buy Chipotle Mexican Grill,Long
3314, The Investment Doctor,2016-01-17 02:06:00,/article/3814876-sierra-rutiles-gangama-mine-will-increase-flexibility-soft-rutile-market,TNUMF,Sierra Rutile's Gangama Mine Will Increase The Flexibility In A Soft Rutile Market,Long
3315, WestEnd511,2016-01-16 19:19:00,/article/3814716-sony-clear-winner-console-war,SNE,Sony: The Clear Winner In The Console War,Long
3316, United Value,2016-01-16 17:28:00,/article/3814636-greenbrier-companies-bill-furman-versus-pendulum,GBX,Greenbrier Companies: Bill Furman Versus The Pendulum,Long
3318, Alpha Vulture,2016-01-16 13:23:00,/article/3760166-best-idea-2016-buy-retail-holdings-effective-discount-60-percent,RHDGF,My Best Idea For 2016: Buy Retail Holdings At An Effective Discount Of 60%,Long
3319, Arie Goren,2016-01-16 12:13:00,/article/3762826-lannett-extremely-undervalued-stock-high-growth-prospects,LCI,Lannett: An Extremely Undervalued Stock With High Growth Prospects,Long
3320, The Investment Doctor,2016-01-16 11:07:00,/article/3814546-detour-gold-straight-shot-success-2016,DRGDF,Detour Gold: Straight Shot To Success In 2016,Long
3321, Paulo Santos,2016-01-16 10:12:00,/article/3812966-disagree-bear-thesis-mobile-telesystems-tremendous-opportunity,MBT,I Disagree With The Bear Thesis - Mobile TeleSystems Is A Tremendous Opportunity,Long
3322, Assaf Nathan,2016-01-16 10:04:00,/article/3812886-vse-corp-story-continues,VSEC,VSE Corp - The Story Continues,Long
3323," Lampert Capital Markets, Inc.",2016-01-15 19:24:00,/article/3814316-aerojet-rocketdyne-challenging-final-frontier-deep-space-propulsion-systems,AJRD,Aerojet Rocketdyne: Challenging The Final Frontier With Deep Space Propulsion Systems,Long
3324, Canuck Investments,2016-01-15 18:40:00,/article/3814276-shaw-communications-sells-media-division-stock-buy,SJR,Shaw Communications Sells Media Division: Is The Stock A Buy?,Long
3325, Trefis,2016-01-15 18:25:00,/article/3814286-starbucks-plans-grow-international-operations,SBUX,How Starbucks Plans To Grow Its International Operations,Long
3326, Michael Hooper,2016-01-15 17:27:00,/article/3760916-wells-fargo-best-long-idea-2016,WFC,Wells Fargo: My Best Long Idea For 2016,Long
3327, Anyoption,2016-01-15 16:34:00,/article/3814086-least-dirty-shirt-investing-exxon,XOM,'Least Dirty Shirt' Investing With Exxon,Long
3328, Stone Fox Capital,2016-01-15 16:33:00,/article/3813966-fitbit-armour-problem,FIT,Fitbit: The Under Armour Problem,Long
3329, Katherine Schrank,2016-01-15 16:20:00,/article/3814026-intel-leads-peers-readiness-compete-low-carbon-economy,INTC,Intel Leads Its Peers In Readiness To Compete In A Low Carbon Economy,Long
3331, Integrator,2016-01-15 16:00:00,/article/3813896-chipotle-greedy-go-long,CMG,"Chipotle: Be Greedy, Go Long",Long
3332, The Investment Doctor,2016-01-15 15:46:00,/article/3813836-despite-setback-centerra-golds-catalysts-poised-propel-stock,CAGDF,Despite A Setback Centerra Gold's Catalysts Poised To Propel Stock,Long
3333, wbtuphx1,2016-01-15 15:43:00,/article/3813806-k12-significantly-undervalued-97-percent-upside,LRN,K12: Significantly Undervalued With 97% Upside,Long
3334, Collective Investment Co.,2016-01-15 15:34:00,/article/3813926-victorias-secret-operator-l-brands-become-expensive,LB,Has Victoria's Secret Operator L Brands Become Too Expensive?,Long
3335, Mark Zusy,2016-01-15 15:17:00,/article/3813856-american-capital-ltd-remains-excellent-investment-opportunity-even-miserable-market,ACAS,"American Capital, Ltd. Remains An Excellent Investment Opportunity Even In A Miserable Market",Long
3336, Long Player,2016-01-15 15:15:00,/article/3813826-next-shareholders-carrizo-oil-gas,CRZO,What Is Next For The Shareholders Of Carrizo Oil And Gas?,Long
3337, Brandon Dempster,2016-01-15 15:07:00,/article/3813716-consider-anadarko-said-done,APC,Consider Anadarko When This Is All Said And Done,Long
3338, Quad 7 Capital,2016-01-15 14:27:00,/article/3813646-deal-wells-fargos-stock,WFC,What Is The Deal With Wells Fargo's Stock?,Long
3339, Ron Struthers,2016-01-15 14:26:00,/article/3760376-kinross-taking-advantage-gold-miner-carnage,KGC,Kinross - Taking Advantage Of The Gold Miner Carnage,Long
3341, ONeil Trader,2016-01-15 13:59:00,/article/3760286-omeros-corporation-top-pick-2016,OMER,Omeros Corporation: My Top Pick For 2016,Long
3342, Martin Vlcek,2016-01-15 13:45:00,/article/3813496-multi-fineline-electronix-apples-crushing-bear-hug,MFLX,Multi-Fineline Electronix: In Apple's Crushing Bear Hug,Long
3343, Brian Nichols,2016-01-15 12:51:00,/article/3813396-2-telling-quotes-xpo-logistics-management,XPO,2 Telling Quotes From XPO Logistics' Management,Long
3344, Marty Frantz,2016-01-15 12:34:00,/article/3813356-ford-good-deed-goes-unpunished,F,Ford: No Good Deed Goes Unpunished,Long
3345, Dylan Quintilone,2016-01-15 12:23:00,/article/3813336-emcore-forgotten-optics-company,EMKR,Emcore: A Forgotten Optics Company,Long
3346, Grant Hosticka,2016-01-15 12:19:00,/article/3759996-chipotle-e-coli-short-term-concern-long-term-winner,CMG,"Chipotle And E. Coli: Short-Term Concern, Long-Term Winner",Long
3347, WG Investment Research,2016-01-15 12:04:00,/article/3813276-aig-win-win-situation,AIG,AIG: A Win-Win Situation,Long
3348, Matthew Waterman,2016-01-15 11:31:00,/article/3813156-amazon-eyes-freighters-pair-trade-opportunity-baltic-dry-index,NMM,"As Amazon Eyes Freighters, A Pair Trade Opportunity In The Baltic Dry Index",Long
3349, Quad 7 Capital,2016-01-15 11:25:00,/article/3813146-going-citigroup,C,What Is Going On With Citigroup?,Long
3350, WestEnd511,2016-01-15 11:23:00,/article/3813246-alibaba-another-shopping-festival,BABA,Alibaba: Another Shopping Festival,Long
3351, Bernardo Teixeira,2016-01-15 11:17:00,/article/3813106-fundamental-analysis-winnebago-industries,WGO,A Fundamental Analysis Of Winnebago Industries,Long
3352, Martin Vlcek,2016-01-15 10:46:00,/article/3810326-ihs-buy-weakness-smart-acquisitions-will-boost-sales,INFO,IHS: Buy This Weakness - Smart Acquisitions Will Boost Sales,Long
3353, Bruce Krulwich,2016-01-15 10:45:00,/article/3812986-intel-shows-value-location-positioning-internet-things-demonstrations,INTC,Intel Shows Value Of Location Positioning In Internet Of Things Demonstrations,Long
3354, Nicholas Bodnar,2016-01-15 10:23:00,/article/3813036-cartesian-shifting-business-models-accretive-acquisitions-equals-high-probable-upside,CRTN,Cartesian: Shifting Business Models With Accretive Acquisitions Equals High Probable Upside,Long
3355, Damon Verial,2016-01-15 10:17:00,/article/3812816-adm-safe-dividend-stock-hitting-new-lows,ADM,ADM: A Safe Dividend Stock Hitting New Lows,Long
3356, Darspal S Mann,2016-01-15 10:15:00,/article/3810256-teladoc-fundamentals-suggest-pessimism-may-run-course,TDOC,Teladoc: Fundamentals Suggest Pessimism May Have Run Its Course,Long
3357, Bret Jensen,2016-01-15 10:10:00,/article/3812806-6-things-need-happen-gilead-shares-go-higher,GILD,These 6 Things Need To Happen Before Gilead Shares Go Higher,Long
3358, The Entertainment Oracle,2016-01-15 10:04:00,/article/3812786-ride-along-comcast-universal-might-slow-2016,CMCSA,'Ride Along' With Comcast: Universal Might Not Slow Down In 2016,Long
3359, Adelphi Venture Capital,2016-01-15 09:52:00,/article/3812836-expect-expedia-keep-flying-higher,EXPE,Expect Expedia To Keep Flying Higher,Long
3360, Damon Verial,2016-01-15 09:42:00,/article/3812726-ibm-market-expectations-way-low,IBM,IBM: Market Expectations Are Way Too Low,Long
3362, Eric Schwer,2016-01-15 09:07:00,/article/3759456-long-case-allergan-plc,AGN,The Long Case For Allergan Plc,Long
3364, Fun Trading,2016-01-15 09:06:00,/article/3812646-seadrill-deal-delay-good-news-investors,SDRL,Seadrill Deal Delay Good News For Investors,Long
3365, Marel.,2016-01-15 09:02:00,/article/3812706-will-navios-maritime-holdings-acquire-merge-navios-maritime-acquisition,NM,Will Navios Maritime Holdings Acquire Or Merge With Navios Maritime Acquisition?,Long
3366, Manoj Madhavan,2016-01-15 09:00:00,/article/3759436-street-show-money-mode-keryx-biopharmaceuticals-inc,KERX,"The Street Is In 'Show Me The Money' Mode With Keryx Biopharmaceuticals, Inc.",Long
3367, Anthony Ruben,2016-01-15 08:58:00,/article/3812636-seadrill-dodges-bullet-defers-newbuild-obligations,SDRL,Seadrill Dodges A Bullet And Defers Newbuild Obligations,Long
3368, Alpha Gen Capital,2016-01-15 08:30:00,/article/3809886-spirit-aerosystems-depressed-due-boeing-overhang-think-pop,SPR,Spirit Aerosystems Is Depressed Due To Boeing Overhang But We Think It Could Pop,Long
3369, Brian Nichols,2016-01-15 08:15:00,/article/3812526-selling-celldex-keep-mind,CLDX,"While Selling Celldex, Keep This In Mind",Long
3370, Alpha Gen Capital,2016-01-15 08:06:00,/article/3809836-several-scenarios-offer-upside-commercial-metals-co,CMC,Several Scenarios Offer Upside To Commercial Metals Co.,Long
3371, Arie Goren,2016-01-15 08:06:00,/article/3812506-consider-gilead-sciences-attractive-price,GILD,Consider Gilead Sciences At An Attractive Price,Long
3372, Alpha Gen Capital,2016-01-15 07:41:00,/article/3809726-service-corporation-international-benefit-core-growth-catalysts,SCI,"Service Corporation International Should Benefit From Core Growth, But With Catalysts",Long
3373, Damon Verial,2016-01-15 07:22:00,/article/3759156-jpmorgan-little-obvious-investors-ignoring-20-percent-upside,JPM,JPMorgan: A Little Too Obvious? Investors Are Ignoring Its 20% Upside,Long
3374, Daniel Jones,2016-01-15 06:32:00,/article/3812356-warren-buffetts-phillips-66-play-bullish-sign-oil,PSX,Warren Buffett's Phillips 66 Play Isn't A Bullish Sign For Oil,Long
3375, Motek Moyen,2016-01-15 00:44:00,/article/3812106-gaming-community-can-boost-amazon-prime-subscriptions,AMZN,The Gaming Community Can Boost Amazon Prime Subscriptions,Long
3376, Frederic Laudenklos,2016-01-15 00:35:00,/article/3812086-year-expansion-ahead-lufthansa,DLAKF,A Year Of Expansion Ahead For Lufthansa,Long
3377, David Deuchar,2016-01-15 00:16:00,/article/3812126-orix-creative-destruction-business-model-yields-record-2015-profits-yet-trades-mere-8x,IX,"Orix 'Creative Destruction' Business Model Yields Record 2015 Profits, Yet Trades At A Mere 8X Earnings",Long
3378, Trefis,2016-01-14 22:44:00,/article/3811946-american-eagle-managed-beat-odds-holiday-season,AEO,American Eagle Managed To Beat The Odds This Holiday Season,Long
3379, Deep Insight,2016-01-14 21:08:00,/article/3811876-stay-sidelines-kinder-morgan-leverage-remains-steep,KMI,Stay On The Sidelines With Kinder Morgan While Leverage Remains Steep,Long
3380, Nick Cox,2016-01-14 19:02:00,/article/3811726-philippines-conglomerate-san-miguel-strong-emerging-markets-play,SMGBY,Philippines Conglomerate San Miguel A Strong Emerging Markets Play,Long
3381, D.M. Martins Research,2016-01-14 18:17:00,/article/3811636-china-holds-key-apples-success-2016,AAPL,China Holds The Key To Apple's Success In 2016,Long
3382, Natalie Koo,2016-01-14 18:16:00,/article/3811716-gentherm-assessing-growth-roic,THRM,Gentherm: Assessing Growth And ROIC,Long
3383, Siddharth Dalal,2016-01-14 18:05:00,/article/3811596-tesla-model-s-u-s-sales-peak-peak,TSLA,Tesla Model S U.S. Sales: Peak Or No Peak,Long
3384, Simple Investment Ideas,2016-01-14 17:30:00,/article/3811536-sunpower-industry-dominance-will-come-technological-superiority,SPWR,SunPower - Industry Dominance Will Come From Technological Superiority,Long
3385, Leverage Equity Research,2016-01-14 17:22:00,/article/3811516-egalet-cash-rich-squeeze-candidate,EGLT,Egalet: A Cash-Rich Squeeze Candidate,Long
3386, Stone Fox Capital,2016-01-14 17:22:00,/article/3811496-ambarella-wait-buy-wait-long,AMBA,"Ambarella: Wait To Buy, But Don't Wait Too Long",Long
3387, Vuru,2016-01-14 17:19:00,/article/3811486-westpac-outcompeting-operating-peers,WBK,Westpac Is Outcompeting And Out-Operating Its Peers,Long
3388, Jack Hon,2016-01-14 16:37:00,/article/3811396-making-sense-genworth-sell,GNW,Making Sense Of The Genworth Sell-Off,Long
3389, Noah Singer,2016-01-14 16:33:00,/article/3811386-sqm-poised-grow-profits-rebounding-iodine-market-rapidly-growing-lithium-market,SQM,"SQM Poised To Grow Profits On Rebounding Iodine Market, Rapidly Growing Lithium Market",Long
3391, BAM Investments,2016-01-14 16:02:00,/article/3811266-buy-gm-forget-2016,GM,Buy GM And Forget About It All Of 2016,Long
3392, D.M. Martins Research,2016-01-14 16:01:00,/article/3811256-independence-contract-drilling-opportunity-dip,ICD,Independence Contract Drilling: Opportunity On The Dip,Long
3393, Anthony Ruben,2016-01-14 15:58:00,/article/3757686-transocean-partners-llc-best-buy-energy,RIGP,Transocean Partners LLC: The Best Buy In Energy?,Long
3394, The Technical Trader,2016-01-14 15:48:00,/article/3811226-sorrento-therapeutics-bottoming-5_00-6_00-per-share-offering-material-upside,SRNE,Sorrento Therapeutics Bottoming At $5.00 To $6.00 Per Share And Offering Material Upside,Long
3395, ONeil Trader,2016-01-14 15:41:00,/article/3811176-pacira-less-uncertainty-lead-growth,PCRX,Pacira: Less Uncertainty To Lead To More Growth,Long
3396, Alessandro Pasetti,2016-01-14 15:40:00,/article/3811166-gauging-fear-exxon-oil-10-big-oil-takeovers-powerball-jackpot,XOM,"Gauging Fear With Exxon - Oil At $10, Big Oil Takeovers And The Powerball Jackpot",Long
3397, Ben Kramer-Miller,2016-01-14 15:36:00,/article/3811276-rye-patch-gold-reports-solid-drilling-results-gold-ridge,RPMGF,Rye Patch Gold Reports Solid Drilling Results At Gold Ridge,Long
3398, Zamir Merali,2016-01-14 15:17:00,/article/3811106-undervalued-biotech-several-upcoming-catalysts-biodelivery-sciences,BDSI,An Undervalued Biotech With Several Upcoming Catalysts: BioDelivery Sciences,Long
3399, Doron Fael,2016-01-14 15:02:00,/article/3811136-sunshine-heart-speculative-biotech-play-substantial-short-term-gains,CHFS,Sunshine Heart - A Speculative Biotech Play For Substantial Short-Term Gains,Long
3400, Michael Ugulini,2016-01-14 13:23:00,/article/3810726-whole-story-whole-foods-market-inc,AMZN,"The Whole Story On Whole Foods Market, Inc.",Long
3401, Quad 7 Capital,2016-01-14 13:07:00,/article/3810656-whats-deal-jp-morgan-chase,JPM,Whats The Deal With JP Morgan Chase?,Long
3402, Aurelien Windenberger,2016-01-14 12:48:00,/article/3810626-sunedison-closes-debt-exchange-transactions-confirms-final-share-dilution-figures,SUNEQ,"SunEdison Closes Debt Exchange Transactions, Confirms Final Share Dilution Figures",Long
3404, David Bautz,2016-01-14 11:48:00,/article/3810566-misunderstanding-surrounding-brainstorm-data-publication-presents-buying-opportunity,BCLI,Misunderstanding Surrounding BrainStorm Data Publication Presents Buying Opportunity,Long
3406, Fun Trading,2016-01-14 11:27:00,/article/3810386-yamana-gold-production-results-deep-dividend-cut,AUY,Yamana Gold: Production Results And Deep Dividend Cut,Long
3409, Discount Fountain,2016-01-14 11:00:00,/article/3810276-honeywell-international-strong-earnings-high-free-cash-flow-stock-definitely-mispriced,HON,"Honeywell International: With Strong Earnings And High Free Cash Flow, This Stock Is Definitely Mispriced",Long
3410, Early Retiree,2016-01-14 10:54:00,/article/3807716-innoviva-happens-generic-advair-hits-market,INVA,Innoviva: What Happens When Generic Advair Hits The Market?,Long
3411, Dan Stringer,2016-01-14 10:50:00,/article/3753476-cash-america-now-back-roots-management-setting-table-strong-2016,CSH,"Cash America: Now Back To Its Roots, Management Is Setting The Table For A Strong 2016",Long
