,Time,Link,Title,Authors,Tickers,Strategy
13," NEWM, MNI, NSAT",/article/4076685-pro-weekly-digest-focusing-long-short-ideas-newspaper-industry,PRO Weekly Digest: Focusing On Long And Short Ideas In The Newspaper Industry," May 27, 2017, 7:30 AM ",Editors' Pick ,Long
14," May 27, 2017, 6:03 AM ",/article/4076988-potential-industry-consolidation-makes-vantiv-attractive,Potential Industry Consolidation Makes Vantiv Attractive, Strubel Investment Management,WP,Long
15," May 27, 2017, 2:04 AM ",/article/4076982-apple-uses-chip-expertise-move-ahead-ai,Apple Uses Its Chip Expertise To Move Ahead In AI, Mark Hibben,AAPL,Long
16," May 26, 2017, 6:28 PM ",/article/4076977-recent-supreme-court-decision-means-networkminus-1-technologies,What The Recent Supreme Court Decision Means For Network-1 Technologies, Jeff Marston,NTIP,Long
17," May 26, 2017, 6:04 PM ",/article/4076970-ii-vi-growth-drivers-competitors,II-VI: Growth Drivers By Competitors, Jorge Acrisio,IIVI,Long
18," May 26, 2017, 5:19 PM ",/article/4076967-earn-monthly-7_5-percent-yield-rentals,Earn A Monthly 7.5% Yield From Rentals, Jussi Askola,IRT,Long
19," May 26, 2017, 2:58 PM ",/article/4076922-hormel-take-advantage-selloff,Hormel: Take Advantage Of This Selloff, Peter Jaworowski,HRL,Long
20," May 26, 2017, 2:53 PM ",/article/4076910-nuance-long-road-turning,Nuance: It Is A Long Road That Has No Turning, Bert Hochfeld,NUAN,Long
21," May 26, 2017, 2:29 PM ",/article/4076884-brembo-just-beginning-great-investment-story,Brembo: This Is Just The Beginning Of A Great Investment Story, Raffi Balyozyan,BRBOF,Long
22," MCPDF, MCGRF, MCGPF",/article/4076537-major-cineplex-thailands-dominant-movie-theater-operator-multiple-growth-drivers,Major Cineplex: Thailand's Dominant Movie Theater Operator With Multiple Growth Drivers," May 26, 2017, 2:27 PM ",Editors' Pick ,Long
23," May 26, 2017, 2:19 PM ",/article/4076879-citigroup-outperforming-big-banks,Citigroup Is Outperforming The Big Banks, IP Banking Research,C,Long
24," May 26, 2017, 2:05 PM ",/article/4076870-skechers-valuation-gap-exaggerated,Skechers: Valuation Gap Is Exaggerated, Kenra Investors,SKX,Long
25," May 26, 2017, 1:54 PM ",/article/4076883-alj-regional-powers-acquisitions-solid-financial-results,ALJ Regional Powers Up With Acquisitions And Solid Financial Results, Don Dion,ALJJ,Long
26," May 26, 2017, 1:38 PM ",/article/4076874-agios-amigos,"Agios, Amigos!", Strong Bio,AGIO,Long
27," May 26, 2017, 1:10 PM ",/article/4076850-spark-therapeutics-upcoming-fda-catalyst,Spark Therapeutics: Upcoming FDA Catalyst, David Zanoni,ONCE,Long
28," May 26, 2017, 1:06 PM ",/article/4076858-tesla-building-moat-hd-maps,Is Tesla Building A Moat With HD Maps?, Trent Eady,TSLA,Long
29," May 26, 2017, 12:49 PM ",/article/4076853-ibm-can-challenge-microsoft-office-adobe-creative-cloud,How And Why IBM Can Challenge Microsoft Office And Adobe Creative Cloud, Motek Moyen,IBM,Long
30," May 26, 2017, 12:36 PM ",/article/4076848-inphis-long-term-potential,Inphi's Long-Term Potential, Blake Ruschman,IPHI,Long
31, VLEEY,/article/4076497-valeo-still-hard-throttle,Valeo Still Hard On The Throttle," May 26, 2017, 12:33 PM ",Editors' Pick ,Long
32," May 26, 2017, 12:31 PM ",/article/4076847-dhx-continues-build-irreplaceable-portfolio,DHX Continues To Build An Irreplaceable Portfolio, Bank On Insight,DHXM,Long
33, LFDEF,/article/4076494-urthecast-earth-back,UrtheCast: To Earth And Back Again," May 26, 2017, 12:26 PM ",Editors' Pick ,Long
34," May 26, 2017, 12:22 PM ",/article/4076845-snaps-share-lock-non-factor-summer,Snap's Share Lock-Up A Non-Factor This Summer, Alex Cho,SNAP,Long
35," SCVPF, SCVPY, SCVUF",/article/4076489-siam-cement-tapping-asean-growth-chemicals-core-earnings-driver,Siam Cement: Tapping On ASEAN Growth With Chemicals As The Core Earnings Driver," May 26, 2017, 12:12 PM ",Editors' Pick ,Long
36, GMS,/article/4076487-gms-gypsum-fueled-roll-set-strong-returns,GMS: Gypsum-Fueled Roll-Up Set For Strong Returns," May 26, 2017, 12:03 PM ",Editors' Pick ,Long
37," May 26, 2017, 12:02 PM ",/article/4076817-apple-widely-followed-stock-overvalued,Apple: The Most Widely Followed Stock Is Not Overvalued, Michael Wiggins De Oliveira,AAPL,Long
38," May 26, 2017, 11:59 AM ",/article/4076829-stamps-com-e-commerce-key,Stamps.com: E-Commerce Is The Key, The Bull Case,STMP,Long
39," May 26, 2017, 11:46 AM ",/article/4076833-gamestop-argue-facts,GameStop: You Can't Argue Facts, Quad 7 Capital,GME,Long
40," May 26, 2017, 11:39 AM ",/article/4076821-teekay-capital-program-backfires,Teekay: Capital Program Backfires, Long Player,TK,Long
41," May 26, 2017, 11:15 AM ",/article/4076822-intuitive-true-pioneer,Intuitive: A True Pioneer, Dylan Burzinski,ISRG,Long
42," May 26, 2017, 11:06 AM ",/article/4076820-biglari-holdings-makes-significant-insurance-company-acquisition,Biglari Holdings Makes Significant Insurance Company Acquisition, Aurelien Windenberger,BH,Long
43," May 26, 2017, 10:52 AM ",/article/4076813-maxlinear-much-higher-can-go,MaxLinear: How Much Higher Can We Go?, Kumquat Research,MXL,Long
44, CEQP,/article/4076456-crestwood-current-9_8-percent-yield-potential-30-percent-12-month-total-return,Crestwood: A Current 9.8% Yield And Potential 30% 12-Month Total Return," May 26, 2017, 10:50 AM ",Editors' Pick ,Long
45," May 26, 2017, 10:16 AM ",/article/4076812-startek-delivers-highest-quarterly-profit-since-september-2009-revenue-growth-major-margin,Startek Delivers Highest Quarterly Profit Since September 2009 As Revenue Growth With Major Margin Expansion Is About To Take Off, Omar A. Samalot,SRT,Long
46," May 26, 2017, 10:09 AM ",/article/4076805-notice-blackberrys-game-changer,Did You Notice Blackberry's Game-Changer?, Jay Somaney,BB,Long
47," May 26, 2017, 9:04 AM ",/article/4076793-costco-heading-200,Costco: Heading To $200, Richard Saintvilus,COST,Long
48," May 26, 2017, 8:47 AM ",/article/4076790-crunching-numbers-teslas-solar-roof-trying-get-excited,"Crunching The Numbers On Tesla's Solar Roof, And Trying Not To Get Too Excited", Galileo Russell,TSLA,Long
49," May 26, 2017, 8:40 AM ",/article/4076796-huntsman-clariant-tie-unlock-shareholder-value,Huntsman Clariant Tie-Up To Unlock More Shareholder Value, Michael Boyd,HUN,Long
50," ALGN, INCY, BIIB",/article/4076774-stock-exchange-time-reconsider-healthcare,Stock Exchange: Time To Reconsider Healthcare?," May 26, 2017, 7:59 AM ",Editors' Pick ,Long
51, MCESF,/article/4076402-macro-enterprises-strong-downside-protection-even-despite-turbulent-macro-environment,Macro Enterprises - Strong Downside Protection Even Despite Turbulent Macro Environment," May 26, 2017, 7:57 AM ",Editors' Pick ,Long
52," May 26, 2017, 7:50 AM ",/article/4076784-oil-service-firms-investments-key-halting-venezuelas-post-maduro-production-decline,Oil Service Firms Investments Key To Halting Venezuela's Post-Maduro Production Decline, Albert Goldson,"BHGE, HAL, SLB",Long
53," May 26, 2017, 7:41 AM ",/article/4076781-long-case-first-data-corporation,My Long Case For First Data Corporation, Ryan Surber,FDC,Long
54," May 26, 2017, 7:39 AM ",/article/4076780-mcig-rival-choice-easy,MCig And A Rival: The Choice Is Easy, David Butler,MCIG,Long
55," May 26, 2017, 7:34 AM ",/article/4076778-invesco-huge-fear,Invesco: A Huge Fear, Quad 7 Capital,IVR,Long
56, ZMTP,/article/4076393-zoom-update-2-big-ways-win,Zoom Update: 2 Big Ways To Win," May 26, 2017, 7:28 AM ",Editors' Pick ,Long
57," May 26, 2017, 3:07 AM ",/article/4076756-palo-alto-networks-getting-back-growth,Palo Alto Networks: Getting Back To Growth, Kumquat Research,PANW,Long
58," May 26, 2017, 3:02 AM ",/article/4076754-micron-approaching-peak,Micron: Approaching A Peak?, Kumquat Research,MU,Long
59," May 26, 2017, 2:43 AM ",/article/4076749-gamestop-another-opportunity-buy-dip,GameStop: Another Opportunity To Buy The Dip, L&F Capital Management,GME,Long
60," May 26, 2017, 12:17 AM ",/article/4076735-signet-long-term-buy,Signet Could Be A Long-Term Buy Here, L&F Capital Management,SIG,Long
61," May 25, 2017, 7:02 PM ",/article/4076699-alphabet-approaches-1000-now,"Alphabet Approaches $1,000: Now What?", Stone Fox Capital,"GOOGL, GOOG",Long
62," May 25, 2017, 6:43 PM ",/article/4076697-vmware-accounting-playbook-flashes-buy-signal,VMware: Accounting Playbook Flashes Buy Signal, ASC Research,VMW,Long
63," May 25, 2017, 5:27 PM ",/article/4076683-upside-potential-possible-transaction-parexel-international,Upside Potential From Possible Transaction At PAREXEL International, Rudy Sangari,PRXL,Long
64," May 25, 2017, 5:25 PM ",/article/4076681-supporting-bullish-thesis-scynexis-notes-conversation-ceo,Supporting Our Bullish Thesis On Scynexis: Notes From A Conversation With The CEO, Bob Sharma,SCYX,Long
65," May 25, 2017, 4:53 PM ",/article/4076670-facebook-just-wait,Facebook: Just Wait, Abba's Aces,FB,Long
66," May 25, 2017, 4:23 PM ",/article/4076649-progressive-corporation-progressed-time-high-climb,Progressive Corporation Has Progressed To An All-Time High And Has Further To Climb, John Longsworth,PGR,Long
67," May 25, 2017, 4:19 PM ",/article/4076646-spark-therapeutics-next-big-thing-gene-therapy,Spark Therapeutics: The Next Big Thing In Gene Therapy?, Benjamin Handler,ONCE,Long
68, BCS,/article/4076637-barclays-goldman-analysts-getting-wrong,Barclays: Goldman Analysts Are Getting This All Wrong," May 25, 2017, 4:11 PM ",Editors' Pick ,Long
69," May 25, 2017, 3:56 PM ",/article/4076652-ericsson-strong-position-5g-network-buildout,Ericsson Has Strong Position Before 5G Network Buildout, Daniel Eskola,ERIC,Long
70," May 25, 2017, 3:49 PM ",/article/4076645-microsoft-still-plenty-room-grow,Microsoft Still Has Plenty Of Room To Grow, Searching For Value,MSFT,Long
71," May 25, 2017, 3:40 PM ",/article/4076582-gilead-taking-side-bet,Gilead: Taking The Other Side Of The Bet, Jonathan Weber,GILD,Long
72," May 25, 2017, 3:34 PM ",/article/4076630-oncomed-contrarian-buy,Is OncoMed A Contrarian Buy?, Strong Bio,OMED,Long
73," May 25, 2017, 3:30 PM ",/article/4076564-blackberry-shorts-running-away,BlackBerry: Shorts Are Running Away, Business Quant,BB,Long
74," May 25, 2017, 3:29 PM ",/article/4076626-american-airlines-nothing-boring-stock,American Airlines: Nothing Boring About This Stock, Stone Fox Capital,AAL,Long
