Authors,Link,Tickers,Time,Title,Strategy
" Nov. 30, 2017, 8:22 AM ",/article/4128354-phibro-will-benefit-growing-global-demand-protein-rich-foods,Editors' Pick , PAHC,Phibro Will Benefit From Growing Global Demand For Protein-Rich Foods,Long
 Laurentian Research,/article/4128032-gastar-case-strong-buy,GST," Nov. 30, 2017, 8:00 AM ",Gastar: The Case For A Strong Buy,Long
 John Engle,/article/4128697-adamis-pharmaceuticals-rocket-still-launchpad,ADMP," Nov. 30, 2017, 7:51 AM ",Adamis Pharmaceuticals: A Rocket Still On The Launchpad,Long
 Harold Goldmeier,/article/4128702-axalta-beauty-many-suitors,AXTA," Nov. 30, 2017, 7:43 AM ",Axalta: A Beauty With Many Suitors,Long
 Jonathan Faison,/article/4128666-new-merrimack-possible-roty-runner-2018,MACK," Nov. 30, 2017, 4:58 AM ",The New Merrimack Is A Possible ROTY Runner For 2018,Long
 Tom Lloyd,/article/4128670-micron-gotta-love-dumb-index-selling,MU," Nov. 30, 2017, 4:47 AM ",Micron: You Gotta Love Dumb Index Selling,Long
 Callum Turcan,/article/4128663-energy-transfers-growing-ngls-hub-worth-checking,"ETE, ETP"," Nov. 30, 2017, 4:03 AM ",Energy Transfer's Growing NGLs Hub Is Worth Checking Out,Long
 Joseph Harry,/article/4128660-accenture-still-undervalued-execution-risk-high,ACN," Nov. 30, 2017, 3:37 AM ","Accenture Could Still Be Undervalued, But Execution Risk Is High",Long
 Nima Karamlou,/article/4128634-t-time-warner-will-close-time-warner-valuable-regardless,"T, TWX"," Nov. 30, 2017, 2:00 AM ",AT&T-Time Warner Will Close; Time Warner Is Valuable Regardless,Long
 Omar A. Samalot,/article/4128651-starteks-relentless-pursuit-optimal-operating-performance-time-reload-shares,SRT," Nov. 30, 2017, 1:26 AM ",Startek's Relentless Pursuit Of Optimal Operating Performance: Time To Reload On Shares,Long
 Eric Nickolaison,/article/4128649-autonation-still-room-run,AN," Nov. 30, 2017, 1:19 AM ",AutoNation Still Has More Room To Run,Long
 BioSci Capital Partners,/article/4128642-portola-pharmaceuticals-part-iv-substantial-unlocked-value-bevyxxa,PTLA," Nov. 30, 2017, 12:22 AM ",Portola Pharmaceuticals (Part IV): Substantial Unlocked Value In Bevyxxa,Long
 BioSci Capital Partners,/article/4128641-fdas-less-stringent-regulations-help-mannkind,MNKD," Nov. 30, 2017, 12:19 AM ",Could The FDA's Less Stringent Regulations Help MannKind?,Long
 Giovanni DiMauro,/article/4128631-bank-america-breaking,BAC," Nov. 29, 2017, 10:38 PM ",Bank Of America Is Breaking Out,Long
 Matt Funaro,/article/4128626-addressing-concerns-aurinia-pharmaceuticals-coo-michael-martin,AUPH," Nov. 29, 2017, 9:17 PM ",Addressing Concerns With Aurinia Pharmaceuticals COO Michael Martin,Long
 Jeffrey Himelson,/article/4128621-fitbit-strong-black-friday-showing,FIT," Nov. 29, 2017, 7:31 PM ",Fitbit: A Strong Black Friday Showing,Long
 Stone Fox Capital,/article/4128612-lexagene-right-product-right-time,LXXGF," Nov. 29, 2017, 6:47 PM ",LexaGene: Right Product At The Right Time,Long
 Jasdeep Lamba,/article/4128610-can-match-group-continue-dominance-romance-business,MTCH," Nov. 29, 2017, 6:35 PM ",Can Match Group Continue Its Dominance In The Romance Business?,Long
 Mauro Solis,/article/4128603-roku-tilting-windmills-profitable,ROKU," Nov. 29, 2017, 5:45 PM ",Roku: Tilting Windmills Is Not Profitable,Long
 Max Greve,/article/4128594-sprint-need-cut-back-promotions-t-verizon-will-remain-pressure,S," Nov. 29, 2017, 5:21 PM ",Sprint Doesn't Need To Cut Back Promotions; AT&T And Verizon Will Remain Under Pressure,Long
 Millennial Investing,/article/4128591-paypal-money-moves,PYPL," Nov. 29, 2017, 4:54 PM ",PayPal: Money Moves,Long
 Cindy Chu,/article/4128584-barnes-and-noble-rejects-activist-investors-takeover-offer-turns-kitchen,BKS," Nov. 29, 2017, 4:31 PM ","Barnes & Noble Rejects Activist Investor's Takeover Offer, Turns To The Kitchen",Long
 KMP Ideas,/article/4128590-molson-coors-entering-international-market,TAP," Nov. 29, 2017, 4:23 PM ",Molson Coors: Entering The International Market,Long
 Shareholders Unite,/article/4128589-kla-tencor-plenty-room-run,KLAC," Nov. 29, 2017, 4:23 PM ",KLA-Tencor Has Plenty Of Room To Run,Long
 Beulah Meriam K,/article/4128581-home-depot-solved-2-biggest-challenges-e-commerce,HD," Nov. 29, 2017, 3:59 PM ",How Home Depot Solved The 2 Biggest Challenges Of E-Commerce,Long
 Lisa Liu,/article/4128568-weibo-growth-sustainable-market-thinks,WB," Nov. 29, 2017, 3:48 PM ",Weibo: Growth Is More Sustainable Than The Market Thinks,Long
 Nick Cox,/article/4128575-byd-ramping-energy-storage-business-worldwide,BYDDF," Nov. 29, 2017, 3:43 PM ",BYD Ramping Up The Energy Storage Business Worldwide,Long
" Carlton Getz, CFA",/article/4128563-tunnel-vision-gnc,GNC," Nov. 29, 2017, 3:36 PM ",Tunnel Vision At GNC,Long
 KMP Ideas,/article/4128566-sberbank-3-reasons-buy,SBRCY," Nov. 29, 2017, 3:17 PM ",Sberbank: 3 Reasons To Buy,Long
 Forge River Research,/article/4128554-opec-meeting-continued-oil-price-catalyst-source-uncertainty,"OIL, USO, DBO"," Nov. 29, 2017, 2:45 PM ",OPEC Meeting: Continued Oil Price Catalyst Or Source Of Uncertainty?,Long
 Dividend Seeker,/article/4128551-time-double-down-stars-group,TSG," Nov. 29, 2017, 2:40 PM ",Time To 'Double Down' On The Stars Group,Long
 Gary Bourgeault,/article/4128459-overstocks-amazon-moment-e-commerce-blockchain-aws,OSTK," Nov. 29, 2017, 1:35 PM ","Overstock's Amazon Moment: E-Commerce, Blockchain And AWS",Long
 Michael A. Ball,/article/4128445-bank-america-growth-back,BAC," Nov. 29, 2017, 1:09 PM ",Bank Of America: Growth Is Back,Long
" Nov. 29, 2017, 12:56 PM ",/article/4128433-ivanhoe-mines-skys-limit,Editors' Pick , IVPAF,Ivanhoe Mines: Sky's The Limit,Long
" Peter F. Way, CFA",/article/4128431-good-time-buy-merck,MRK," Nov. 29, 2017, 12:23 PM ",It's A Good Time To Buy Merck,Long
 ChartMasterPro,/article/4128430-interpublic-group-excellent-entry-point,IPG," Nov. 29, 2017, 12:22 PM ",Interpublic Group: Excellent Entry Point,Long
" Jason Phillips, CFA",/article/4128429-enbridge-risk-becoming-value-trap,ENB," Nov. 29, 2017, 12:19 PM ",Is Enbridge At Risk Of Becoming A Value Trap?,Long
 Quad 7 Capital,/article/4128427-thor-industries-relentless-growth,THO," Nov. 29, 2017, 12:16 PM ",Thor Industries: Relentless Growth,Long
 Trent Welsh,/article/4128414-alibaba-underperforming-altaba-risk,AABA," Nov. 29, 2017, 12:10 PM ",Alibaba: Underperforming Altaba With More Risk.,Long
 Jonathan Faison,/article/4128412-cidara-therapeutics-roty-holding-outperform-soon,CDTX," Nov. 29, 2017, 11:58 AM ",Cidara Therapeutics: This ROTY Holding Could Outperform Soon,Long
 Ray Merola,/article/4128420-energy-transfer-incredible-shrinking-mlp,"ETE, ETP"," Nov. 29, 2017, 11:56 AM ",Energy Transfer: The Incredible Shrinking MLP,Long
 JG Investment Research,/article/4128405-momo-smashes-q3-estimates-shares-falling,MOMO," Nov. 29, 2017, 11:48 AM ",Momo Smashes Q3 Estimates; Here's Why Shares Are Falling,Long
" Nov. 29, 2017, 11:44 AM ",/article/4128417-can-range-resources-100-trillion-cubic-feet-natural-gas-keep-portfolio-warm-winter,Editors' Pick , RRC,Can Range Resources' 100 Trillion Cubic Feet Of Natural Gas Keep Your Portfolio Warm This Winter?,Long
 Anthony DiBenedetto,/article/4128416-whiting-petroleum-slowly-surely,WLL," Nov. 29, 2017, 11:44 AM ","Whiting Petroleum: Slowly, But Surely",Long
" Andres Cardenal, CFA",/article/4128410-mks-instruments-positioned-outperformance,MKSI," Nov. 29, 2017, 11:26 AM ",MKS Instruments Is Positioned For Outperformance,Long
 Kippington Capital Management,/article/4128396-small-risk-arbitrage,"RILY, CALL"," Nov. 29, 2017, 11:26 AM ",Small Risk Arbitrage,Long
37 Comments,/article/4128408-good-true-proposition-make-1000-6000-bet-2-months," Nov. 29, 2017, 11:20 AM "," Peter F. Way, CFA","Too Good To Be True Proposition: Make $1,000 On $6,000 Bet In 2 Months",Long
 Anthony DiBenedetto,/article/4128393-cabot-oil-and-gas-among-best-natural-gas-e-and-ps,COG," Nov. 29, 2017, 10:44 AM ",Cabot Oil & Gas: Among The Best Natural Gas E&Ps,Long
" Nov. 29, 2017, 10:32 AM ",/article/4128391-bri-chem-attractive-metrics-45-percent-potential-near-term-upside,Editors' Pick , BRYFF,"Bri-Chem: Attractive Metrics, And 45% Potential Near-Term Upside",Long
 Raul Shah,/article/4128388-dicks-sporting-goods-will-use-2018-opportunity-adapt,DKS," Nov. 29, 2017, 10:10 AM ",Dick's Sporting Goods Will Use 2018 As An Opportunity To Adapt,Long
" Nov. 29, 2017, 10:05 AM ",/article/4128081-investment-case-ascendis-pharma,Editors' Pick , ASND,The Investment Case For Ascendis Pharma,Long
 Sarfaraz A. Khan,/article/4128381-kinder-morgan-recovery-ahead,KMI," Nov. 29, 2017, 9:59 AM ",Kinder Morgan: Recovery Ahead,Long
 Jonathan Faison,/article/4128372-aevi-genomic-medicine-several-catalysts-coming-middle-2018,GNMX," Nov. 29, 2017, 9:39 AM ",Aevi Genomic Medicine: Several Catalysts Coming In The Middle Of 2018,Long
 Pantho Investments,/article/4128383-del-taco-12-bottom,TACO," Nov. 29, 2017, 9:38 AM ",Del Taco: Is $12 The Bottom?,Long
 Detroit Bear,/article/4128380-will-new-management-breath-new-life-armours-footwear-business,"UA, UAA"," Nov. 29, 2017, 9:29 AM ",Will New Management Breath New Life Into Under Armour's Footwear Business?,Long
 Roger Gaebel,/article/4128378-control-investor-may-actually-like-kona-grill,KONA," Nov. 29, 2017, 9:22 AM ",A Control Investor May Actually Like Kona Grill,Long
 PLM Investments,/article/4128377-emisphere-near-term-news-may-push-price-back,EMIS," Nov. 29, 2017, 9:21 AM ",Emisphere: Near-Term News May Push The Price Back Up,Long
 Keyanoush Razavidinani,/article/4128375-starbucks-good-long-term-investment,SBUX," Nov. 29, 2017, 9:19 AM ",Starbucks: A Good Long-Term Investment,Long
 First Floor Finance,/article/4128374-easiest-way-invest-cryptocurrencies-and-blockchain,OSTK," Nov. 29, 2017, 9:17 AM ",The Easiest Way To Invest In Cryptocurrencies & Blockchain,Long
 Austrolib,/article/4128373-corbus-trial-data-piles-insiders-institutional-investors-follow-suit,CRBP," Nov. 29, 2017, 9:14 AM ",Corbus Trial Data Piles On As Insiders And Institutional Investors Follow Suit,Long
 David Barbalas,/article/4128360-byd-build-dreams-make-electric,BYDDY," Nov. 29, 2017, 9:03 AM ",BYD: Build Your Dreams And Make Them Electric,Long
 Kal Telage,/article/4128369-quantum-minerals-junior-big-lithium-potential-coming,QMCQF," Nov. 29, 2017, 9:01 AM ",Quantum Minerals: A Junior With Big Lithium Potential Coming Into Its Own,Long
" Nov. 29, 2017, 8:53 AM ",/article/4128355-new-melinta-strategic-difference,Editors' Pick , MLNT,The New Melinta: A Strategic Difference,Long
 Strong Bio,/article/4128349-salesforce-potential-pharma-play,CRM," Nov. 29, 2017, 8:40 AM ",Salesforce: Potential Pharma Play?,Long
 Connor Morelli,/article/4128348-nutrisystem-opportunity-growth,NTRI," Nov. 29, 2017, 8:34 AM ",Nutrisystem: Opportunity For Growth,Long
 Dane Bowler,/article/4128358-stag-industrial-upside-remaining,STAG," Nov. 29, 2017, 8:27 AM ",Stag Industrial Has More Upside Remaining,Long
 Gaurao Bhade,/article/4128357-hold-nektar-therapeutics-much-ammunition-left-partnered-research-programs,NKTR," Nov. 29, 2017, 8:26 AM ",Hold On To Nektar Therapeutics: There Is Much More Ammunition Left In Its Partnered Research Programs,Long
" Nov. 29, 2017, 8:01 AM ",/article/4128046-limbach-materially-undervalued-misunderstood,Editors' Pick , LMB,Limbach: Materially Undervalued And Misunderstood,Long
 Gold Panda,/article/4128347-excellon-resources-firing-cylinders,EXLLF," Nov. 29, 2017, 8:00 AM ",Excellon Resources Firing On All Cylinders,Long
 Laurentian Research,/article/4128028-gastar-q3-2017-results-reviewed,GST," Nov. 29, 2017, 8:00 AM ",Gastar: Q3 2017 Results Reviewed,Long
 J. M. Manness,/article/4128265-apple-analysis-iphone-x-sales-soar-looking-quarter-estimates,AAPL," Nov. 29, 2017, 8:00 AM ","Apple Analysis: iPhone X Sales Soar, Looking At Quarter Estimates",Long
 Courage & Conviction Investing,/article/4128345-magic-macys-70-million-shares-sold-short,M," Nov. 29, 2017, 7:55 AM ",The Magic Of Macy's And 70 Million Shares Sold Short,Long
" Nov. 29, 2017, 7:30 AM ",/article/4127962-fagron-turnaround-business-bright-future,Editors' Pick , ARSUF,Fagron - A Turnaround Business With A Bright Future,Long
 Long Player,/article/4128332-chesapeake-energy-trumping-weather-grinch-oil,CHK," Nov. 29, 2017, 7:28 AM ",Chesapeake Energy: Trumping The Weather Grinch With More Oil,Long
 Individual Trader,/article/4128301-campbell-soup-looks-forming-solid-multi-month-bottom,CPB," Nov. 29, 2017, 4:22 AM ",Campbell Soup Looks To Be Forming A Solid Multi-Month Bottom,Long
 John Rhodes,/article/4128278-blockchain-destroy-wells-fargo,WFC," Nov. 29, 2017, 2:02 AM ",Blockchain Won't Destroy Wells Fargo,Long
 Adam Bilko,/article/4128232-habit-restaurants-put-perspective,HABT," Nov. 28, 2017, 8:32 PM ",Habit Restaurants: Let's Put It Into Perspective,Long
 Nelson Alves,/article/4128233-musks-biography-can-tell-tesla-surviving-production-hell,TSLA," Nov. 28, 2017, 8:09 PM ",What Musk's Biography Can Tell You About Tesla Surviving The Production Hell,Long
 Stone Fox Capital,/article/4128227-square-irrational-rally,SQ," Nov. 28, 2017, 6:57 PM ",Square: Irrational Rally,Long
 Peter Tan,/article/4128224-valeants-bausch-and-lomb-india-e-commerce-popularity,VRX," Nov. 28, 2017, 6:44 PM ",Valeant's Bausch & Lomb India - E-Commerce Popularity,Long
 Hawkinvest,/article/4128222-ceragon-networks-undervalued-2-tech-stock-can-win-big-5g-rolls,CRNT," Nov. 28, 2017, 6:23 PM ",Ceragon Networks: This Undervalued $2 Tech Stock Can Win Big As 5G Rolls Out,Long
 Strong Bio,/article/4128215-healthcare-will-rocket-demand-micron-technology,MU," Nov. 28, 2017, 5:07 PM ",Healthcare Will Rocket Demand For Micron Technology,Long
" Nov. 28, 2017, 4:23 PM ",/article/4128212-next-billion-dollar-blockbuster-value-investors-look-omeros-part-2,Editors' Pick , OMER,The Next Billion Dollar Blockbuster: Why Value Investors Should Look At Omeros (Part 2),Long
 Beulah Meriam K,/article/4128210-salesforce-com-reality-aggressive-growth,CRM," Nov. 28, 2017, 4:21 PM ",Salesforce.com: The Reality Of Aggressive Growth,Long
 Jeff Vande Hey,/article/4128203-air-lease-fly-high,AL," Nov. 28, 2017, 4:11 PM ",Air Lease: Fly High,Long
" Nov. 28, 2017, 4:04 PM ",/article/4128208-cenovus-energys-spare-capacity-supports-current-valuation,Editors' Pick , CVE,Cenovus Energy's Spare Capacity Supports The Current Valuation,Long
 Stephen Castellano,/article/4128200-thor-industries-aboard-campers,THO," Nov. 28, 2017, 4:01 PM ","Thor Industries: All Aboard, Campers!",Long
 Jacob Urban,/article/4128206-kohls-finding-place-retails-future,KSS," Nov. 28, 2017, 3:55 PM ",Kohl's: Finding A Place In Retail's Future,Long
 Seeking Early Retirement,/article/4128199-gilead-another-sobering-moment,GILD," Nov. 28, 2017, 3:55 PM ","Gilead - Another Sobering Moment, But There Is More",Long
 Dana Kuhn,/article/4128201-biglari-holdings-first-guard-insurance-hidden-gem,BH," Nov. 28, 2017, 3:34 PM ",Biglari Holdings: First Guard Insurance- A Hidden Gem,Long
 Jonathan Faison,/article/4128180-ablynx-ash-beyond,ABLX," Nov. 28, 2017, 3:08 PM ",Ablynx: To ASH And Beyond,Long
" Nov. 28, 2017, 2:59 PM ",/article/4128192-ctrip-will-rise,Editors' Pick , CTRP,Ctrip Will Rise Again,Long
 Sven Carlin,/article/4128190-qudian-will-profitable-even-capped-interest-rates-video,QD," Nov. 28, 2017, 2:54 PM ",Qudian Will Be Profitable Even With The Capped Interest Rates (Video),Long
 Andrew McElroy,/article/4128182-wal-mart-market-making-mistake,WMT," Nov. 28, 2017, 2:42 PM ",Wal-Mart: The Market Could Be Making A Mistake,Long
" Nov. 28, 2017, 2:29 PM ",/article/4128176-anthera-pharmaceuticals-buy-dip,Editors' Pick , ANTH,Anthera Pharmaceuticals: Buy The Dip,Long
 Zach Hartman,/article/4128167-northwest-biotherapeutics-due-diligence,NWBO," Nov. 28, 2017, 2:24 PM ",Northwest Biotherapeutics: Do Your Due Diligence,Long
 Stephen Ayers,/article/4128173-novocure-revolutionizing-cancer-treatment,NVCR," Nov. 28, 2017, 2:14 PM ",Novocure: Revolutionizing Cancer Treatment,Long
" Nov. 28, 2017, 1:43 PM ",/article/4127895-fastest-growing-stock-never-heard,Editors' Pick , BLMT,The Fastest Growing Stock You've Never Heard Of,Long
 Sanjit Deepalam,/article/4128159-hawaiian-airlines-opportunity-take-advantage-market-fears,HA," Nov. 28, 2017, 1:19 PM ",Hawaiian Airlines Is An Opportunity To Take Advantage Of Market Fears,Long
 Michael Filloon,/article/4128158-hartstreet-pioneer-well-design-sees-continued-oil-production-improvements,PXD," Nov. 28, 2017, 1:14 PM ",Hartstreet: Pioneer Well Design Sees Continued Oil Production Improvements,Long
 Rookie Investor,/article/4128157-2-stocks-capitalizing-popular-trends,MTCH," Nov. 28, 2017, 1:09 PM ",2 Stocks That Are Capitalizing On Popular Trends,Long
 Bert Hochfeld,/article/4128137-netapp-anatomy-successful-turnaround,NTAP," Nov. 28, 2017, 12:59 PM ",NetApp: The Anatomy Of A Successful Turnaround,Long
" Edward Vranic, CFA",/article/4128122-nova-lifestyle-fair-value-5-company-addresses-concerns,NVFY," Nov. 28, 2017, 12:45 PM ",Nova Lifestyle Has A Fair Value Of $5 As Company Addresses Concerns,Long
" Nov. 28, 2017, 12:39 PM ",/article/4127876-despegar-latams-leading-travel-site-set-take,Editors' Pick , DESP,Despegar: LatAm's Leading Travel Site Is Set To Take Off,Long
 Howard Jay Klein,/article/4128120-las-vegas-sands-asia-place-called-las-vegas,LVS," Nov. 28, 2017, 12:31 PM ","Las Vegas Sands: All In On Asia, But What About A Place Called Las Vegas?",Long
 David Trainer,/article/4128119-hasbro-mattel-merger-produce-big-profits,HAS," Nov. 28, 2017, 12:19 PM ",Hasbro-Mattel Merger Could Produce Big Profits,Long
 ValueAnalyst,/article/4128111-tesla-competition-nikola-motors-edition,TSLA," Nov. 28, 2017, 11:54 AM ",Tesla Competition: Nikola Motors Edition,Long
 Milkweed,/article/4128107-valeant-valuation-exercise,VRX," Nov. 28, 2017, 11:37 AM ",A Valeant Valuation Exercise,Long
 Buffalo Equities,/article/4128098-ibm-laying-groundwork-blockchain-domination,IBM," Nov. 28, 2017, 11:10 AM ",IBM - Laying The Groundwork For Blockchain Domination,Long
 Trent Eady,/article/4128097-tesla-building-dynamic-model-competitive-advantage,TSLA," Nov. 28, 2017, 10:56 AM ",Tesla: Building A Dynamic Model Of Competitive Advantage,Long
 SomaBull,/article/4128096-goldcorp-great-buy-anticipation-golds-next-run,GG," Nov. 28, 2017, 10:45 AM ",Goldcorp Is A Great Buy In Anticipation Of Gold's Next Run,Long
 Philip Davis,/article/4128091-trade-year-tuesday-top-pick-2018,HBI," Nov. 28, 2017, 10:27 AM ",Trade Of The Year Tuesday - Our Top Pick For 2018 Is:,Long
" Nov. 28, 2017, 9:26 AM ",/article/4128065-thor-soars-q1-numbers-reasons-stay-long,Editors' Pick , THO,Thor Soars On Q1 Numbers: Reasons To Stay Long,Long
 ValueAnalyst,/article/4128073-general-electric-time-buy,GE," Nov. 28, 2017, 9:12 AM ",General Electric: Is It Time To Buy?,Long
 Anthony DiBenedetto,/article/4128072-gulfport-energy-this-new-gulfport,GPOR," Nov. 28, 2017, 9:12 AM ",Gulfport Energy: 'This Is The New Gulfport',Long
" Nov. 28, 2017, 9:09 AM ",/article/4128071-teslas-cash-pile-galileo-russells-idea-month,Editors' Pick , TSLA,Tesla's Cash Pile - Galileo Russell's Idea Of The Month,Long
 Michael Boyd,/article/4128069-taubman-centers-activists-circle-undervalued-reit,TCO," Nov. 28, 2017, 9:07 AM ",Taubman Centers: Activists Circle This Undervalued REIT,Long
 Midas Investor,/article/4128067-riding-rv-market-thor-industries,THO," Nov. 28, 2017, 9:03 AM ",Riding The RV Market With Thor Industries,Long
 Zen Value Investor,/article/4128061-buy-dips-celestica-poised-deliver-better-results-2018,CLS," Nov. 28, 2017, 8:40 AM ",Buy The Dips As Celestica Is Poised To Deliver Better Results In 2018,Long
 Agamemnus,/article/4128058-quinolones-adcom-doom-can-aradigm-achieve-holy-grail-monopoly,ARDM," Nov. 28, 2017, 8:38 AM ",Quinolones And The Adcom Of Doom: Can Aradigm Achieve The Holy Grail Of Monopoly?,Long
 Jacob Strong,/article/4128055-long-case-irobot,IRBT," Nov. 28, 2017, 8:31 AM ",The Long Case For iRobot,Long
 J.J. Woronoff,/article/4128048-cambium-join-em,ABCD," Nov. 28, 2017, 8:06 AM ",Cambium: Join 'Em,Long
 Laurentian Research,/article/4127984-gastar-aftermath-operational-debacle,GST," Nov. 28, 2017, 8:00 AM ",Gastar: In The Aftermath Of An Operational Debacle,Long
" Nov. 28, 2017, 8:00 AM ",/article/4127495-initiate-coverage-nmi-holdings-buy-rating-taking-back-mortgage-insurance-industry,Editors' Pick , NMIH,"Initiate Coverage On NMI Holdings With Buy Rating, Taking Back The Mortgage Insurance Industry",Long
" Nov. 28, 2017, 7:45 AM ",/article/4127447-dia-sa-bet-latin-american-recovery-short-sellers-ignore,Editors' Pick ," DIDAF, DIDAY",DIA SA: A Bet On Latin American Recovery That Short-Sellers Ignore,Long
" Nov. 28, 2017, 7:15 AM ",/article/4127359-hanger-still-cost-arm-leg,Editors' Pick , HNGR,Hanger: It STILL Won't Cost You An Arm And A Leg,Long
 Eric Sprague,/article/4128023-priceline-group-incremental-changes-customer-growth,BKNG," Nov. 28, 2017, 6:25 AM ",The Priceline Group: Incremental Changes For Customer Growth,Long
" Nov. 28, 2017, 6:00 AM ",/article/4127440-shinhan-financial-group-high-quality-korean-bank,Editors' Pick , SHG,Shinhan Financial Group: A High-Quality Korean Bank,Long
" Nov. 28, 2017, 6:00 AM ",/article/4127461-gogo-speculative-investment-promising-space,Editors' Pick , GOGO,Gogo: Speculative Investment In A Promising Space,Long
" Nov. 28, 2017, 6:00 AM ",/article/4127545-wesdome-gold-herd-moved-early,Editors' Pick , WDOFF,Wesdome Gold: The Herd Has Moved On Too Early,Long
 Matt Bohlsen,/article/4128020-applied-optoelectronics-now-oversold,AAOI," Nov. 28, 2017, 5:31 AM ",Applied Optoelectronics Is Now Oversold,Long
 Callum Turcan,/article/4128011-chesapeake-exiting-mid-continent-region-fund-turnaround-efforts,CHK," Nov. 28, 2017, 4:31 AM ",Chesapeake Exiting Mid-Continent Region To Fund Turnaround Efforts,Long
 The Investment Doctor,/article/4127760-euronav-tough-times-manageable,EURN," Nov. 28, 2017, 4:30 AM ","Euronav: Tough Times, But Manageable",Long
 Laura Starks,/article/4127994-exelons-stealth-excellence,EXC," Nov. 28, 2017, 2:27 AM ",Exelon's Stealth Excellence,Long
 Long Player,/article/4127997-blueknight-energy-partners-biggest-insider-makes-move,BKEP," Nov. 28, 2017, 2:14 AM ",Blueknight Energy Partners:  The Biggest Insider Makes A Move,Long
 Mark Hibben,/article/4127980-can-qualcomm-datacenter-done-smartphones,QCOM," Nov. 27, 2017, 8:52 PM ",Can Qualcomm Do In The Datacenter What It Has Done In Smartphones?,Long
 Bill Maurer,/article/4127979-amd-bears-come-rushing,AMD," Nov. 27, 2017, 8:24 PM ",AMD Bears Come Rushing In,Long
 Josh Rudnik,/article/4127977-bank-america-banking-brighter-future,BAC," Nov. 27, 2017, 7:39 PM ",Bank Of America: Banking On A Brighter Future,Long
 Philomena Doyle,/article/4127975-goodyear-tire-buy,GT," Nov. 27, 2017, 7:33 PM ",Goodyear Tire Is A Buy,Long
 John Sheehy,/article/4127973-k-wah-international-premier-value-compounder-bargain-price,KWHAF," Nov. 27, 2017, 7:29 PM ",K. Wah International: A Premier Value Compounder At A Bargain Price,Long
 L&F Capital Management,/article/4127955-applied-optoelectronics-rebound-started,AAOI," Nov. 27, 2017, 5:04 PM ",Applied Optoelectronics: Has The Rebound Started?,Long
 Kenra Investors,/article/4127952-dsw-remains-hold-q3,DSW," Nov. 27, 2017, 4:48 PM ",DSW Remains A Hold After Q3,Long
 Josh Arnold,/article/4127949-buy-lowes-home-depot,LOW," Nov. 27, 2017, 4:38 PM ","Buy Lowe's, Not Home Depot",Long
 Alia Leiyn,/article/4127943-j-m-smucker-company-spreads-market-value,SJM," Nov. 27, 2017, 3:59 PM ",The J.M. Smucker Company Spreads The Market With Value,Long
 Joeri van der Sman,/article/4127935-star-bulk-carriers-update-expect-fourth-quarter-results,SBLK," Nov. 27, 2017, 3:29 PM ",Star Bulk Carriers Update: What To Expect From Fourth Quarter Results,Long
 Sramana Mitra,/article/4127933-international-focus-paying-salesforce-com,CRM," Nov. 27, 2017, 3:26 PM ",International Focus Paying Off For Salesforce.com,Long
 Travis Davis,/article/4127931-nustar-may-leaving-money-table,NS," Nov. 27, 2017, 3:16 PM ",Nustar May Be Leaving Money On The Table,Long
 Beulah Meriam K,/article/4127913-monsters-international-upside-coca-cola-still-watching,MNST," Nov. 27, 2017, 2:31 PM ",Monster's International Upside: Is Coca-Cola Still Watching?,Long
 Derrick Zierler,/article/4127905-upgrading-price-target-kopin-heading-consumer-electronics-show-2018,KOPN," Nov. 27, 2017, 2:09 PM ",I Am Upgrading My Price Target For Kopin Heading Into The Consumer Electronics Show 2018,Long
 Bill Maurer,/article/4127890-bitcoin-10000-likely-given,GBTC," Nov. 27, 2017, 1:28 PM ","Bitcoin: $10,000 Likely A Given",Long
 Sanjit Deepalam,/article/4127889-callaway-golf-company-hole-one,ELY," Nov. 27, 2017, 1:21 PM ",Callaway Golf Company Isn't A Hole-In-One,Long
 Eric Nickolaison,/article/4127887-monro-warren-buffett-style-investment,MNRO," Nov. 27, 2017, 1:17 PM ",Monro: A Warren Buffett-Style Investment,Long
 Rohan Sethi,/article/4127875-case-struggling-dana-incorporated,DAN," Nov. 27, 2017, 12:36 PM ",The Case For A Once Struggling Dana Incorporated,Long
 D.M. Martins Research,/article/4127868-gopro-bear-case-seems-myopic,GPRO," Nov. 27, 2017, 12:24 PM ",GoPro: Bear Case Seems Myopic,Long
" Andres Cardenal, CFA",/article/4127866-home-depot-quality-value-momentum,HD," Nov. 27, 2017, 12:21 PM ","Home Depot: Quality, Value And Momentum",Long
 Bill Maurer,/article/4127865-apple-smart-iphone-decision,AAPL," Nov. 27, 2017, 12:18 PM ",Apple: Smart iPhone Decision,Long
 Seanvestments,/article/4127863-scorpio-tankers-inc-historic-opportunity-buy-lows,STNG," Nov. 27, 2017, 12:14 PM ",Scorpio Tankers Inc. - A Historic Opportunity To Buy At Its Lows,Long
 Silicon Valley Insights,/article/4127861-nutanix-shares-bought-front-earnings-following-share-price-surge,NTNX," Nov. 27, 2017, 12:10 PM ",Should Nutanix Shares Be Bought In Front Of Earnings Following A Share Price Surge?,Long
 Open Square Capital,/article/4127856-apple-services-nitrous-apples-profit-engine,AAPL," Nov. 27, 2017, 11:53 AM ",Apple Services: The Nitrous In Apple's Profit Engine,Long
