Authors,Link,Tickers,Time,Title,Strategy
 Mark Hibben,/article/4137337-intel-apocalypse,INTC," Fri, Jan. 12, 4:07 PM ",Intel: Apocalypse... Not,Long
 Beulah Meriam K,/article/4137332-indicators-show-instagram-will-form-stronger-revenue-base-facebook,FB," Fri, Jan. 12, 3:44 PM ",These Indicators Show Instagram Will Form A Stronger Revenue Base Than Facebook,Long
 The Value Portfolio,/article/4137328-hess-corporation-top-convinction-oil-pick,HES," Fri, Jan. 12, 3:20 PM ",Hess Corporation - Top Convinction Oil Pick,Long
 The Structure Of Price,/article/4137327-amd-firecrackers-thrown-cpu-space,AMD," Fri, Jan. 12, 3:19 PM ",AMD: Firecrackers Thrown Into The CPU Space,Long
 Oisin Breen,/article/4137316-billboard-portfolio-lamar,LAMR," Fri, Jan. 12, 2:23 PM ",A Billboard In Your Portfolio With Lamar,Long
 Isaac Tang,/article/4137280-facebooks-growth-showed-signs-slowing,FB," Fri, Jan. 12, 2:02 PM ",Facebook's Growth Showed No Signs Of Slowing,Long
 DTF Capital,/article/4137289-pier-1-imports-stabilization-will-create-value,PIR," Fri, Jan. 12, 1:57 PM ",Pier 1 Imports: Stabilization Will Create Value,Long
 From Growth to Value,/article/4137275-potential-multibaggers-ctrip-chinese-priceline,CTRP," Fri, Jan. 12, 1:54 PM ","Potential Multibaggers: Ctrip, The Chinese Priceline",Long
 Talmage Adams,/article/4137286-deep-heart-africa-unearthing-treasure-ivanhoe-mines-stands-apart,IVPAF," Fri, Jan. 12, 1:52 PM ","Deep In The Heart Of Africa, Unearthing Treasure, Ivanhoe Mines Stands Apart",Long
 Gold News,/article/4137285-2-gold-stocks-high-discretionary-cash-greater-debt-capacity,"ABX, KGC"," Fri, Jan. 12, 1:49 PM ",2 Gold Stocks With High Discretionary Cash And Greater Debt Capacity,Long
 Robert Leonard,/article/4137274-small-mighty-networkminus-1-security-solutions,NTIP," Fri, Jan. 12, 1:40 PM ",Small But Mighty: Network-1 Security Solutions,Long
 Friedrich Chen,/article/4137281-etsy-poach-migrating-merchants,ETSY," Fri, Jan. 12, 1:38 PM ",Etsy: Poach The Migrating Merchants,Long
 Gold Mining Bull,/article/4137273-first-majestic-buy-primero-one-real-winner,"WPM, PPPMF, AG"," Fri, Jan. 12, 1:06 PM ",First Majestic To Buy Primero: There Is One Real Winner,Long
 BigDeal,/article/4137271-next-big-compounder,ASPU," Fri, Jan. 12, 1:03 PM ",The Next Big Compounder,Long
 Margin of Saving,/article/4137270-bebes-taking-axe-costs,BEBE," Fri, Jan. 12, 12:59 PM ",bebe's Taking An Axe To Costs,Long
 Zach Hartman,/article/4137263-apellis-decline-highs-opportunity-considerable-risks,APLS," Fri, Jan. 12, 12:24 PM ",Apellis On The Decline From Highs Is An Opportunity With Considerable Risks,Long
 Capital Market Laboratories,/article/4137236-shopify-bullish-thesis-grows,SHOP," Fri, Jan. 12, 12:03 PM ",Shopify -- The Bullish Thesis Grows,Long
 The Reasonable Investor,/article/4137234-counterpoint-google-investors-fear-amazons-lead-voice-enabled-devices-much,"GOOG, GOOGL"," Fri, Jan. 12, 12:01 PM ",Counterpoint: Why Google Investors Should Not Fear Amazon's Lead In Voice-Enabled Devices (Too Much),Long
 The Value Portfolio,/article/4137233-devon-energy-pure-american-shale-oil,DVN," Fri, Jan. 12, 11:58 AM ",Devon Energy - Pure American Shale Oil,Long
 Ground Floor Opportunities,/article/4137232-hedgepath-pharmaceuticals-primary-concerns-addressed-mitigated-mayne-pharma-deal,HPPI," Fri, Jan. 12, 11:52 AM ",HedgePath Pharmaceuticals: Some Primary Concerns Addressed And Mitigated Through Mayne Pharma Deal,Long
 Stone Fox Capital,/article/4137231-ibm-sellers-gone-crazy,IBM," Fri, Jan. 12, 11:50 AM ",IBM: Sellers Gone Crazy,Long
 WideAlpha,/article/4137199-company-increasingly-looking-like-berkshire-hathaway-technology,SFTBY," Fri, Jan. 12, 11:42 AM ",This Company Is Increasingly Looking Like The Berkshire Hathaway Of Technology,Long
 MedTechBio,/article/4137225-toxicity-gerons-imetelstat-may-lead-accelerated-fda-approval,GERN," Fri, Jan. 12, 11:41 AM ",The Toxicity Of Geron's Imetelstat May Lead To Accelerated FDA Approval,Long
" Fri, Jan. 12, 11:22 AM ",/article/4137201-play-churchill-downs-supreme-court-oks-sports-betting-rights-states,Editors' Pick , CHDN,How To Play Churchill Downs If The Supreme Court OKs Sports Betting Rights For States,Long
 The Value Investor,/article/4137200-incyte-low-expectations-great-growth-looks-appealing,INCY," Fri, Jan. 12, 11:15 AM ","Incyte: Low Expectations, Great Growth, Looks Appealing",Long
 Stephen Ayers,/article/4137186-novocure-recent-developments-upcoming-prospects-mesothelioma,NVCR," Fri, Jan. 12, 11:08 AM ",Novocure: Recent Developments And Upcoming Prospects In Mesothelioma,Long
" Fri, Jan. 12, 11:05 AM ",/article/4136908-k2m-looking-move-past-disappointing-2017-innovation-fueled-growth,Editors' Pick , KTWO,K2M Looking To Move Past A Disappointing 2017 With Innovation-Fueled Growth,Long
 Samuel Leathers,/article/4137188-senior-housing-industry-may-risk-deathcare,SCI," Fri, Jan. 12, 10:41 AM ",The Senior Housing Industry May Be At Risk But Deathcare Isn't,Long
 Bert Hancock,/article/4137175-cirrus-logic-apple-problem,CRUS," Fri, Jan. 12, 10:10 AM ",Cirrus Logic: The Apple Problem,Long
" Fri, Jan. 12, 10:02 AM ",/article/4137172-mongodb-catchy-name-go-catchy-technology,Editors' Pick , MDB,MongoDB - A Catchy Name To Go With A Catchy Technology,Long
 Fun Trading,/article/4137180-yamana-gold-exciting-time-ahead,AUY," Fri, Jan. 12, 9:57 AM ",Yamana Gold - Exciting Time Ahead,Long
 Josh Arnold,/article/4137176-five-will-keep-making-new-highs,FIVE," Fri, Jan. 12, 9:42 AM ",Five Below Will Keep Making New Highs,Long
 Zynath Investment,/article/4137158-aytus-natesto-set-take-3_8-billion-trt-market-lipocine-clarus-therapeutics-fail,AYTU," Fri, Jan. 12, 8:57 AM ",Aytu's Natesto Is Set To Take The $3.8 Billion TRT Market While Lipocine And Clarus Therapeutics Fail,Long
 Daniel Schönberger,/article/4137162-cal-maine-foods-invest-dare,CALM," Fri, Jan. 12, 8:39 AM ","Cal-Maine Foods: Invest, If You Dare",Long
 Sam Warren,/article/4137161-take-overwatch-game,ATVI," Fri, Jan. 12, 8:32 AM ",Take Me Out To The Overwatch Game,Long
 Seven Corners Capital Management,/article/4137160-genworth-additional-thoughts-plan-b-valuation,GNW," Fri, Jan. 12, 8:28 AM ",Genworth: Additional Thoughts On Plan-B And Valuation,Long
 Lion Group,/article/4137149-marathon-oil-phoenix-desert,MRO," Fri, Jan. 12, 8:18 AM ",Marathon Oil-Phoenix In The Desert,Long
 Will Nussman,/article/4137148-ford-great-2018-buy,F," Fri, Jan. 12, 8:12 AM ",Ford - A Great 2018 Buy,Long
 Emmanuel Enemchukwu,/article/4137152-fmc-corp-focus-1-turnaround-stay,FMC," Fri, Jan. 12, 7:56 AM ",FMC Corp. In Focus (1): Is This Turnaround Here To Stay?,Long
 Glen Bradford,/article/4137129-sweeney-jurisdictional-discovery-complete-government-concedes-point,"FNMA, FMCC"," Fri, Jan. 12, 6:41 AM ",Sweeney Jurisdictional Discovery Complete As Government Concedes Point,Long
 Siddharth,/article/4137131-american-eagle-right-side-retail,AEO," Fri, Jan. 12, 6:21 AM ",American Eagle: The Right Side Of Retail,Long
 Jeff Miller,/article/4137125-stock-exchange-will-sentiment-turn-bearish-soon,TEVA," Fri, Jan. 12, 5:58 AM ",Stock Exchange: Will Sentiment Turn Bearish Soon?,Long
 Shareholders Unite,/article/4137122-twilio-offer-high-returns-bit-gamble,TWLO," Fri, Jan. 12, 5:33 AM ","Twilio Could Offer High Returns, But It's A Bit Of A Gamble",Long
 Jonathan Faison,/article/4137115-nektar-therapeutics-continued-upside-2018,NKTR," Fri, Jan. 12, 5:05 AM ",Nektar Therapeutics: Continued Upside In 2018,Long
 BioSci Capital Partners,/article/4137101-atara-biotherapeutics-fda-clearance-ataminus-188-phase-1-study-u-s-sites-entails,ATRA," Fri, Jan. 12, 2:27 AM ",Atara Biotherapeutics: What The FDA Clearance For ATA-188 Phase 1 Study At U.S. Sites Entails?,Long
 The Value Portfolio,/article/4137076-oasis-petroleum-taking-advantage-low-prices,OAS," Thu, Jan. 11, 10:45 PM ",Oasis Petroleum: Taking Advantage Of Low Prices,Long
 The Value Portfolio,/article/4137075-eog-resources-steady-cash-flow-potential,EOG," Thu, Jan. 11, 10:31 PM ",EOG Resources: Steady Cash Flow And Potential,Long
 Cornerstone Investments,/article/4137073-enbridge-likely-winner-race-build-next-pipeline-canada,ENB," Thu, Jan. 11, 9:51 PM ",Enbridge: Likely Winner In The Race To Build The Next Pipeline For Canada,Long
 Trent Welsh,/article/4137069-hi-crush-unit-buybacks-distributions-market-sentiment-stay-long,HCLP," Thu, Jan. 11, 8:18 PM ","Hi-Crush: Unit Buybacks, Distributions, And Market Sentiment Are Why I Stay Long",Long
 MTS Insights,/article/4137061-suntrust-regional-bank-shining-brightly,STI," Thu, Jan. 11, 5:41 PM ",SunTrust: A Regional Bank Shining Brightly,Long
 Bears of Wall Street,/article/4137060-blackberry-risen-ashes,BB," Thu, Jan. 11, 5:40 PM ",BlackBerry Has Risen From The Ashes,Long
 Stone Fox Capital,/article/4137049-novavax-time-different,NVAX," Thu, Jan. 11, 5:04 PM ",Novavax: Is This Time Different?,Long
 Beulah Meriam K,/article/4137053-diageo-indian-leg-johnnie-walkers-journey,DEO," Thu, Jan. 11, 4:54 PM ",Diageo: The Indian Leg Of Johnnie Walker's Journey,Long
 ValueAnalyst,/article/4137038-tesla-bears-hang,TSLA," Thu, Jan. 11, 3:38 PM ",Tesla Bears Hang On,Long
 Ramon Vredeling,/article/4137033-china-molybdenum-targets-key-role-electric-vehicle-revolution-alongside-glencore,CMCLF," Thu, Jan. 11, 3:23 PM ",China Molybdenum Targets Key Role In Electric Vehicle Revolution Alongside Glencore,Long
 Michael Wiggins De Oliveira,/article/4137020-mylan-time-ripe,MYL," Thu, Jan. 11, 2:51 PM ",Mylan: The Time Is Ripe,Long
" Thu, Jan. 11, 2:37 PM ",/article/4136716-bridgford-foods-unlocking-hidden-value-asset-worth-50-percent-market-cap,Editors' Pick , BRID,Bridgford Foods: Unlocking Hidden Value Asset Worth ~50% Of Market Cap,Long
" Thu, Jan. 11, 1:49 PM ",/article/4136999-nobilis-health-path-clearing-increased-shareholder-value-2018,Editors' Pick , HLTH,Nobilis Health: Path Clearing For Increased Shareholder Value In 2018,Long
