Date,Close,Tickers
12/28/15,675.200012,AMZN
12/29/15,693.969971,AMZN
12/30/15,689.070007,AMZN
12/31/15,675.8900150000001,AMZN
1/4/16,636.98999,AMZN
1/5/16,633.789978,AMZN
1/6/16,632.650024,AMZN
1/7/16,607.9400019999999,AMZN
1/8/16,607.049988,AMZN
1/11/16,617.73999,AMZN
1/12/16,617.8900150000001,AMZN
1/13/16,581.8099980000001,AMZN
1/14/16,593.0,AMZN
1/15/16,570.179993,AMZN
1/19/16,574.47998,AMZN
1/20/16,571.77002,AMZN
1/21/16,575.02002,AMZN
1/22/16,596.380005,AMZN
1/25/16,596.530029,AMZN
1/26/16,601.25,AMZN
1/27/16,583.349976,AMZN
1/28/16,635.349976,AMZN
1/29/16,587.0,AMZN
2/1/16,574.8099980000001,AMZN
2/2/16,552.099976,AMZN
2/3/16,531.070007,AMZN
2/4/16,536.26001,AMZN
2/5/16,502.130005,AMZN
2/8/16,488.10000599999995,AMZN
2/9/16,482.07000700000003,AMZN
2/10/16,490.48001100000005,AMZN
2/11/16,503.82000700000003,AMZN
2/12/16,507.079987,AMZN
2/16/16,521.099976,AMZN
2/17/16,534.099976,AMZN
2/18/16,525.0,AMZN
2/19/16,534.900024,AMZN
2/22/16,559.5,AMZN
2/23/16,552.9400019999999,AMZN
2/24/16,554.039978,AMZN
2/25/16,555.150024,AMZN
2/26/16,555.22998,AMZN
2/29/16,552.52002,AMZN
3/1/16,579.039978,AMZN
3/2/16,580.210022,AMZN
3/3/16,577.48999,AMZN
3/4/16,575.1400150000001,AMZN
3/7/16,562.799988,AMZN
3/8/16,560.26001,AMZN
3/9/16,559.469971,AMZN
3/10/16,558.929993,AMZN
3/11/16,569.6099849999999,AMZN
3/14/16,573.369995,AMZN
3/15/16,577.02002,AMZN
3/16/16,574.27002,AMZN
3/17/16,559.4400019999999,AMZN
3/18/16,552.080017,AMZN
3/21/16,553.97998,AMZN
3/22/16,560.47998,AMZN
3/23/16,569.630005,AMZN
3/24/16,582.950012,AMZN
3/28/16,579.869995,AMZN
3/29/16,593.8599849999999,AMZN
3/30/16,598.6900019999999,AMZN
3/31/16,593.6400150000001,AMZN
4/1/16,598.5,AMZN
4/4/16,593.1900019999999,AMZN
4/5/16,586.1400150000001,AMZN
4/6/16,602.080017,AMZN
4/7/16,591.429993,AMZN
4/8/16,594.599976,AMZN
4/11/16,595.929993,AMZN
4/12/16,603.169983,AMZN
4/13/16,614.820007,AMZN
4/14/16,620.75,AMZN
4/15/16,625.8900150000001,AMZN
4/18/16,635.349976,AMZN
4/19/16,627.900024,AMZN
4/20/16,632.98999,AMZN
4/21/16,631.0,AMZN
4/22/16,620.5,AMZN
4/25/16,626.200012,AMZN
4/26/16,616.880005,AMZN
4/27/16,606.570007,AMZN
4/28/16,602.0,AMZN
4/29/16,659.590027,AMZN
5/2/16,683.849976,AMZN
5/3/16,671.320007,AMZN
5/4/16,670.900024,AMZN
5/5/16,659.090027,AMZN
5/6/16,673.950012,AMZN
5/9/16,679.75,AMZN
5/10/16,703.070007,AMZN
5/11/16,713.22998,AMZN
5/12/16,717.929993,AMZN
5/13/16,709.919983,AMZN
5/16/16,710.659973,AMZN
5/17/16,695.27002,AMZN
5/18/16,697.450012,AMZN
5/19/16,698.52002,AMZN
5/20/16,702.799988,AMZN
5/23/16,696.75,AMZN
5/24/16,704.200012,AMZN
5/25/16,708.349976,AMZN
5/26/16,714.909973,AMZN
5/27/16,712.23999,AMZN
5/31/16,722.789978,AMZN
6/1/16,719.4400019999999,AMZN
6/2/16,728.23999,AMZN
6/3/16,725.539978,AMZN
6/6/16,726.72998,AMZN
6/7/16,723.73999,AMZN
6/8/16,726.6400150000001,AMZN
6/9/16,727.650024,AMZN
6/10/16,717.909973,AMZN
6/13/16,715.23999,AMZN
6/14/16,719.299988,AMZN
6/15/16,714.26001,AMZN
6/16/16,717.51001,AMZN
6/17/16,706.3900150000001,AMZN
6/20/16,714.01001,AMZN
6/21/16,715.820007,AMZN
6/22/16,710.599976,AMZN
